DESCRIPCION|CODCIE9_1|CODCIE9_2|URGENCIA
ABSCESO EN 5º DEDO DE PIE IZQDO|681.10||0
ABSCESO ESCROTAL IZDO|608.4||0
ABSCESO ESPALDA|682.2||0
ABSCESO GLUTEO|682.5||0
ABSCESO GLUTEO DERECHO|682.5||0
ABSCESO GLUTEO INTERVENIDO|V67.0||0
ABSCESO GLUTEO IZ|682.5||0
ABSCESO GLUTEO PERIANAL|566||0
ABSCESO INGLE|682.2||0
ABSCESO INGUINAL|682.2||0
ABSCESO INGUINAL DCHO|682.2||0
ABSCESO INGUINAL DERECHO|682.2||0
ABSCESO INGUINAL IZDO|682.2||0
ABSCESO INGUINAL IZQUIERDA|682.2||0
ABSCESO INTERGLUTEO|682.5||0
ABSCESO ISQUIORECTAL|566||0
ABSCESO ISQUIORRECTAL|566||0
ABSCESO ISQUIORRECTAL (INTERVENIDO)|V67.0||0
ABSCESO ISQUIORRECTAL INTERVENIDO|V67.0||0
ABSCESO LABIO SUPERIOR|528.5||0
ABSCESO LOBULO OREJA DERECHA|380.10||0
ABSCESO MAMARIO|611.0||0
ABSCESO MOLAR|522.5||0
ABSCESO MUSLO|682.6||0
ABSCESO MUSLO DCHO|682.6||0
ABSCESO MUSLO DERECHO|682.6||0
ABSCESO PALPEBRAL|373.13||0
ABSCESO PARACICATRICIAL|682.9||0
ABSCESO PARAFARINGEO|478.22||1
ABSCESO PARARECTAL|566||0
ABSCESO PARED|682.2||0
ABSCESO PARED ABDOMINAL|682.2||0
ABSCESO PARPADO SUPERIOR|373.13||0
ABSCESO PARPEBRAL|373.13||0
ABSCESO PERIAMIGDALINO|475||1
ABSCESO PERIANAL|566||0
ABSCESO PERIFARINGEO|478.29||0
ABSCESO PERINEAL|682.2||0
ABSCESO PERIODONTAL|523.3||0
ABSCESO PERIRRECTAL|566||0
ABSCESO PERIRRENAL|590.2||0
ABSCESO PERIUNGUEAL|681.9||0
ABSCESO PERIUNGUEAL POSTRAUMATICO|681.9||0
ABSCESO PIERNA|682.6||0
ABSCESO PILONIDAL|685.0||0
ABSCESO POR FOLICULITIS|704.8||0
ABSCESO PREAURICULAR|682.0||0
ABSCESO PULMONAR|513.0||0
ABSCESO RAIZ NASAL IZQUIERDA|682.0||0
ABSCESO RECIDIVANTE ANO|566||0
ABSCESO REGION INGUINAL.|682.2||0
ABSCESO REGIONES ANALES Y RECTALES|566||0
ABSCESO RENAL|590.2||0
ABSCESO RETROAURICULAR|682.1||0
ABSCESO RETROAURICULAR IZQUIERDO|682.1||0
ABSCESO SACRO|682.2||0
ABSCESO SEGUNDO DEDO MANO DERECHA|681.00||0
ABSCESO SISTEMA NERVIOSO CENTRAL (cualquier localización)|324||1
ABSCESO SOBRE FISTULA SACRA INTERVENIDA|685.0||0
ABSCESO SUBCUTANEO|682.9||0
ABSCESO SUBFRENICO|998.5||1
ABSCESO SUBMAMARIO|611.0||0
ABSCESO SUBMAMARIO IZQUIERDO|611.0||0
ABSCESO SUBMANDIBULAR|682.0||0
ABSCESO SUBMANDIBULAR IZQUIERDO|682.0||0
ABSCESO SUPRAPUBICO|682.2||0
ABSCESO 2º DEDO MANO DER|681.00||0
ABSCESOS DE REPETICION|682.9||0
ABSCESOS FACIALES|682.0||0
ABSCESOS HEPATICOS|572.0||0
ABSCESOS SUBUNGUEALES AMBAS MANOS|681.00||0
ABSTINENCIA AL ALCOHOL|303.9||1
ABSTINENCIA ETILICA|291.8||0
ABUNDANTE FLUJO VAGINAL|623.5||0
ABUSO ALCOHOL.NEOM|F10.1||0
ABUSO ALCOHOL.NEOM|F10.00||0
ABUSO ALCOHOL.NEOM|F10.01||0
ABUSO ALCOHOL.NEOM|F10.02||0
ABUSO ALCOHOL.NEOM|F10.06||0
ABUSO ALCOHOL.NEOM|F10.05||0
ABUSO ALUCINOGENO.NEOM|F16.06||0
ABUSO ALUCINOGENO.NEOM|F16.1||0
ABUSO ALUCINOGENO.NEOM|F16.05||0
ABUSO ALUCINOGENO.NEOM|F16.02||0
ABUSO ALUCINOGENO.NEOM|F16.01||0
ABUSO ANTIDEPRESIVO.NEOM|F55.0||0
ABUSO BARBITURICO Y SEDANTE.NEOM|F13.06||0
ABUSO BARBITURICO Y SEDANTE.NEOM|F13.1||0
ABUSO BARBITURICO Y SEDANTE.NEOM|F13.01||0
ABUSO BARBITURICO Y SEDANTE.NEOM|F13.05||0
ABUSO BARBITURICO Y SEDANTE.NEOM|F13.02||0
ABUSO CANNABIS.NEOM|F12.01||0
ABUSO CANNABIS.NEOM|F12.06||0
ABUSO CANNABIS.NEOM|F12.1||0
ABUSO CANNABIS.NEOM|F12.05||0
ABUSO CANNABIS.NEOM|F12.02||0
ABUSO COCAINA.NEOM|F14.1||0
ABUSO COCAINA.NEOM|F14.06||0
ABUSO COCAINA.NEOM|F14.05||0
ABUSO COCAINA.NEOM|F14.01||0
ABUSO COCAINA.NEOM|F14.02||0
ABUSO DE ANFETAMINAS|305.70||1
ABUSO DROGA OTRO Y NEOM.NEOM|F19.02||0
ABUSO DROGA OTRO Y NEOM.NEOM|F19.05||0
ABUSO DROGA OTRO Y NEOM.NEOM|F19.06||0
ABUSO DROGA OTRO Y NEOM.NEOM|F19.1||0
ABUSO DROGA OTRO Y NEOM.NEOM|F55.1||0
ABUSO DROGA OTRO Y NEOM.NEOM|F55.2||0
ABUSO DROGA OTRO Y NEOM.NEOM|F55.3||0
ABUSO DROGA OTRO Y NEOM.NEOM|F55.4||0
ABUSO DROGA OTRO Y NEOM.NEOM|F55.5||0
ABUSO DROGA OTRO Y NEOM.NEOM|F55.6||0
ABUSO DROGA OTRO Y NEOM.NEOM|F55.8||0
ABUSO DROGA OTRO Y NEOM.NEOM|F55.9||0
ABUSO DROGA OTRO Y NEOM.NEOM|F15.00||0
ABUSO DROGA OTRO Y NEOM.NEOM|F15.01||0
ABUSO DROGA OTRO Y NEOM.NEOM|F15.02||0
ABUSO DROGA OTRO Y NEOM.NEOM|F15.05||0
ABUSO DROGA OTRO Y NEOM.NEOM|F15.06||0
ABUSO DROGA OTRO Y NEOM.NEOM|F15.1||0
ABUSO DROGA OTRO Y NEOM.NEOM|F18.01||0
ABUSO DROGA OTRO Y NEOM.NEOM|F18.02||0
ABUSO DROGA OTRO Y NEOM.NEOM|F18.05||0
ABUSO DROGA OTRO Y NEOM.NEOM|F18.06||0
ABUSO DROGA OTRO Y NEOM.NEOM|F18.1||0
ABUSO DROGA OTRO Y NEOM.NEOM|F19.01||0
ABUSO OPIOIDE.NEOM|F11.02||0
ABUSO OPIOIDE.NEOM|F11.01||0
ABUSO OPIOIDE.NEOM|F11.1||0
ABUSO OPIOIDE.NEOM|F11.06||0
ABUSO OPIOIDE.NEOM|F11.05||0
ABUSO TABACO|F17.2||0
ABUSO TABACO|F17.20||0
ABUSO TABACO|F17.21||0
ABUSO TABACO|F17.22||0
ABUSO TABACO|F17.23||0
ABUSO TABACO|F17.24||0
ABUSO TABACO|F17.25||0
ABUSO TABACO|F17.1||0
ABUSO TABACO|F17.26||0
ABUSO TABACO|F17.05||0
ABUSO TABACO|F17.02||0
ABUSO TABACO|F17.01||0
ABUSO TABACO|F17.06||0
AC X FA|427.31||0
ACALASIA GRADO II|530.0||0
ACANTOSIS NIGRICANS|701.2||0
ACCIDENTE CEREBRAL ISQUEMICO TRANSITORIO|435.9||0
ACCIDENTE CEREBRAL VASCULAR|436||0
ACCIDENTE CEREBRAL VASCULAR ISQUEMICO|436||0
ACCIDENTE CEREBRO VASCULAR|436||0
ACCIDENTE CEREBRO VASCULAR AGUDO|436||0
ACCIDENTE CEREBROVASCULAR|436||0
ACCIDENTE CEREBROVASCULAR AGUDO|436||0
ACCIDENTE CEREBROVASCULAR EN FASE CRONIC|437.9||0
ACCIDENTE CEREBROVASCULAR FASE CRONICA.|437.9||0
ACCIDENTE CEREBROVASCULAR SILVIANO|434.90||0
ACCIDENTE CEREBROVASCULAR SIN SECUELAS|V12.59||0
ACCIDENTE CEREBROVASCULAR TRANSITORIO|435.9||0
ACCIDENTE CEREBROVASCULAR/APOPLEJIA|436||0
ACCIDENTE ISQUEMICO|436||0
ACCIDENTE ISQUEMICO TRANSITORIO|435.9||0
ACCIDENTE ISQUEMICO TRANSITORIO|435.9||1
ACCIDENTE ISQUEMICO TRANSITORIO.|435.9||0
ACCIDENTE ISQUEMICO TRANSITORIO CEREBRAL|435.9||0
ACCIDENTE ISQUEMICO TRANSITORIO /94|435.9||0
ACCIDENTE ISQUEMICO VASCULAR TRANSITORIO|435.9||0
ACCIDENTE TRABAJO(FRACTURA L4)|805.4||0
ACCIDENTE VASCULAR CEREBRAL|436||0
ACCIDENTE VASCULAR CEREBRAL ISQUEMICO|436||0
ACCIDENTE VASCULAR ISQUEMICO TRANSITORIO|435.9||0
ACCIDENTE VASCULAR TRANSITORIO|435.9||0
ACCIDENTE VASCULOCEREBRAL EN FASE CRONIC|437.9||0
ACCIDENTE VASCULOCEREBRAL FASE CRONICA|437.9||0
ACCIDENTE VASCULOCEREBRAL RESIDUAL|438||0
ACCIDENTES ISQUEMICOS TRANSITORIOS|435.9||0
ACCIDENTES VASCULARES CEREBRALES|436||0
ACC.TRAFICO,ESGUINCE CERVICAL|847.0|E819.9|0
ACENTUACION SINDROME POSTLAMINECTOMIA|722.80||0
AC*FA|427.31||0
AC+FA|427.31||0
AC*FA SIN CARDIOPATIA ESTRUCTURAL|427.31||0
AC+FA SIN CARDIOPATIA ESTRUCTURAL|427.31||0
ACHBS + (VACUNADA)|V02.6||0
ACHO|V25.41||0
ACIDEZ|536.8||0
ACIDEZ GASTRICA|536.8||0
ACIDEZ/ ULCERA|533.90||0
ACNE|706.1||0
ACNE CARA Y ESPALDA|706.1||0
ACNE COMEDOGENICO|706.1||0
ACNE COMEDOGENICO EN CARA Y ESPALDA|706.1||0
ACNE COMEDONIANO.|706.1||0
ACNE COMEDONICO|706.1||0
ACNE COMUN|706.1||0
ACNE CONGLOBATA|706.1||0
ACNE CORTICOIDEO|706.1||0
ACNE E HIRSUTISMO|706.1|704.1|0
ACNE EN CARA|706.1||0
ACNE EN CARA Y ESPALDA|706.1||0
ACNE EN ESPALDA|706.1||0
ACNE FACIAL|706.1||0
ACNE GRADO I|706.1||0
ACNE GRADO II|706.1||0
ACNE GRADO I-II|706.1||0
ACNE GRADO II-III|706.1||0
ACNE IATROGENICO CORTICOIDEO|706.1|E932.0|0
ACNE II EN CARA|706.1||0
ACNE JUVENIL|706.1||0
ACNE NODULAR|706.1||0
ACNE NODULO QUISTICO|706.1||0
ACNE NODULOQUISTICA|706.1||0
ACNE NODULO-QUISTICO|706.1||0
ACNE PAPULAR|706.1||0
ACNE PAPULO-NODULAR|706.1||0
ACNE PAPULO-PUSTULOSO|706.1||0
ACNE PAPULOSO|706.1||0
ACNE PEDICULAR CON COMEDONES|706.1||0
ACNE POLIMORFO|706.1||0
ACNE PULTACEO|706.1||0
ACNE PUSTULO-NODULOSO|706.1||0
ACNE PUSTULOSO|706.1||0
ACNE QUISTICO|706.1||0
ACNE QUISTICO EN LA ESPALDA.|706.1||0
ACNE QUISTICO SOBREINFECTADO|706.1||0
ACNE QUISTICO-PUSTULOSO|706.1||0
ACNE ROSACEA|695.3||0
ACNE SEBORREICO|706.1||0
ACNE SENIL|706.1||0
ACNE (sin especificar)|706.1||1
ACNE VULGAR|706.1||0
ACNE VULGAR.|706.1||0
ACNE-HIRSUTISMO|706.1|704.1|0
A.C.O|V25.41||0
ACO|V25.41||0
ACORCHAMIENTO MANO DERECHA|782.0||0
ACORTAMIENTO MI DERCH.SECUELAS DE POLIO|138|736.81|0
ACORTAMIENTO MID|736.81||0
ACORTAMIENTO MIEMBRO INFERIOR IZQ|736.81||0
ACORTAMIENTO MMII|736.81||0
ACROCIANOSIS|443.89||0
ACROCORDOMA|170.4||0
ACROCORDOMAS|170.4||0
ACROCORDONES|214.9||0
ACROCORDONES.|214.9||0
ACROMEGALIA|253.0||0
ACROMIOPLASTIA|V67.0||0
ACROMOPLASTIA HOMBRO DERECHO|V67.0||0
ACROPARESTESIAS|443.89||0
ACROPARESTESIAS MUÑECA DERECHA|443.89||0
ACROPARESTESIAS NOCTURNAS|782.0||0
ACTITUD ESCOLIOTICA|737.30||0
ACTITUD ESCOLIOTICA DORSAL|737.30||0
ACTITUD ESCOLIOTICA LUMBAR|737.30||0
ACTIVIDAD COMICIAL|345.90||0
ACTIVIDADES PREVENTIVAS|V07.9||0
ACTP A 1ª DIAGONAL|V45.82||0
ACUFENO|388.30||0
ACUFENO DERECHO.|388.30||0
ACUFENO EN OIDO DECHO|388.30||0
ACUFENO EN OIDO IZQUIERDO.|388.30||0
ACUFENO IZQUIERDO.|388.30||0
ACUFENOS|388.30||1
ACUFENOS|388.30||0
ACUFENOS.|388.30||0
ACUFENOS BILATERAL|388.30||0
ACUFENOS EN O.D.|388.30||0
ACUFENOS EN OI|388.30||0
ACUFENOS EN OIDO IZQUIERDO|388.30||0
ACUFENOS ESENCIALES|388.30||0
ACUFENOS OIDO DERECHO|388.30||0
ACUFENOS OIDO IZQ|388.30||0
ACUFENOS OIDO IZQUIERDO|388.30||0
ACUFENOS POR OTOSCLEROSIS|388.30|387.9|0
ACUFENOS POR PRESBIACUSIA VASCULAR|388.01||0
ACUFENOS VASCULARES|388.30||0
ACUFENOS.HIPOACUSIA.|388.30|389.9|0
ACUFENOS-S.VERTIGINOSO PERIFERICO|388.30|386.10|0
ACUMULO DE HECES EN COLON TRANSVERSO|560.9||0
ACUÑAMIENTO DE L1|724.9||0
ACUÑAMIENTO L5|724.9||0
ACUÑAMIENTO VERTEBRAL Y OSTEOPOROSIS|733.00||0
ACUÑAMIENTO VERTEBRAS DORSALES|724.9||0
A.C.V.|436||0
ACV|436||0
A.C.V. ATROFIA CORTICO-SUBCORTICAL|438|331.7|0
ACV CEREBRAL MEDIA DERECHA|436||0
ACV CEREBRAL MEDIA IZDA|436||0
ACV CEREBRAL MEDIO|436||0
ACV CON HEMIPLEJIA DERECHA|438|342.90|0
ACV CON SECUELA HEMIPARESIA DERECHA|438|342.90|0
ACV CON SECUELAS|438||0
A.C.V. DE REPETICION|436||0
ACV HEMISFERIO DCHO|436||0
ACV HEMISFERIO IZDO RECUPERADA|V12.59||0
ACV HEMORRAGICO|432.9||0
ACV ISQUEMICO|436||0
ACV ISQUEMICO DCHO|436||0
ACV ISQUEMICO DE REPETICION BIHEMISFERICO|436||0
ACV ISQUEMICO DERECHO|436||0
ACV ISQUEMICO EN HEMISFERIO DERECHO|436||0
ACV ISQUEMICO PUTAMINAL DERECHO|436||0
ACV ISQUEMICO REPETICION BIHEMISFERICO|436||0
ACV ISQUEMICO TRONCOENCEFALICO EN|436||0
ACV LACUNAR HEMISFERIO IZDO|436||0
ACV LACUNARES|436||0
ACV, RECIDIVA|436||0
ACV RESIDUAL|438||0
ACV SILVIANO|434.90||0
ACV SILVIANO IZQUIERDO|434.90||0
ACV SIN SECUELAS|V12.59||0
ACV TRANSITORIO|435.9||0
ACV TROMBOTICO|434.00||0
A.C.V.A.|436||0
ACVA|436||0
ACVA AGUDO|436||0
ACVA ANTIGUO|V12.59||0
ACVA ANTIGUO.REVISION|V12.59||0
ACVA CEREBRAL MEDIA IZDA.CARDIOEMBOLISMO|434.90||0
ACVA CON HEMIPARESIA IZQUIERDA|438|342.90|0
ACVA CON HEMIPARESIA RESIDUAL|438|342.90|0
ACVA DE REPETICION|436||0
ACVA EMBOLIGENO|434.10||0
ACVA EMBOLIGENO 1984|434.10||0
ACVA EN EL 96|436||0
A.C.V.A EN 1988|436||0
ACVA EN 1995|436||0
ACVA ESTABLECIDO.HEMIPLEJIA IZQUIERDA|438|342.90|0
ACVA HACE 17 AÑOS|V12.59||0
ACVA. HEMIPARESIA DCHA.|438|342.90|0
ACVA HEMIPARESIA RESIDUAL DECH|438|342.90|0
ACVA HEMIPARESIA RESIDUAL DERCH|438|342.90|0
ACVA HEMISFERIO DCHO|436||0
ACVA HEMISFERIO DERECHO|436||0
ACVA HEMISFERIO IZDO|436||0
ACVA HEMISFERIO IZQUIERDO.|436||0
ACVA HEMORRAGICO|431||1
ACVA ISQUEMICO|436||0
ACVA ISQUEMICO EN CEREBRAL MEDIA|434.90||0
ACVA ISQUEMICO EN 3 OCASIONES|V12.59||0
ACVA ISQUEMICO HEMISFERICO DERECHO|436||0
ACVA ISQUEMICO HEMISFERICO IZDO|436||0
ACVA ISQUEMICO HEMISFERIO IZDO|436||0
ACVA ISQUEMICO, TROMBOTICO O EMBOLICO|434||1
ACVA RESIDUAL|438||0
ACVA (sin especificar isquémico o hemorrágico)|436||1
ACVA SIN SECUELAS|V12.59||0
ACVA TRANSITORIO|435.9||0
ACVA TRANSITORIO DISCRETA SECUELA|438||0
ACVA TRANSITORIO (TIA)|435.9||0
A.C.V.A. TTO. CON TIKLID|436||0
ACVA 1988|436||0
ACVA 1997|436||0
ACVA.HEMATOMA GANGLIOS BASALES IZQ|431||0
ACVA.HEMIPARESIA IZDA|438|342.90|0
ACVA.HEMIPLEJIA IZQUIERDA|438|342.90|0
ACVA.HEMIPLEJIA IZQUIERDA.|438|342.90|0
ACVAS EMBOLIGENOS|434.10||0
ACVA,SIN SECUELAS|V12.59||0
ACVA-VERTEBRO-BASILAR|433.30||0
ADC BASOCELULAR|173.9||0
ADC BRONCOPULMONAR|162.9||0
ADC ENDOMETRIO|182.0||0
ADC EPIDERMOIDE|199.1||0
ADC ESPINOCELULAR|199.1||0
ADC HEPATICO|155.0||0
ADC MAMA|174.9||0
ADC PULMONAR|162.9||0
ADC RENAL METASTASICO|189.0|199.0|0
ADCA MAMA ESTADIO IIB|174.9||0
ADDISON|255.4||0
ADELGAZAMIENTO|783.2||0
ADELGAZAMIENTO, EN ESTUDIO|783.2||0
ADENECTOMIA PROSTATA|V67.0||0
ADENECTOMIA PROSTATICA RETROPUBICA|V67.0||0
ADENITIS|289.3||0
ADENITIS AGUDA|683||0
ADENITIS CERVICAL|289.3||0
ADENITIS EN CUELLO|289.3||0
ADENITIS INESPECIFICA|289.3||0
ADENITIS SALIVAR|527.2||0
ADENITIS SUBMANDIBULAR|527.2||0
ADENITIS SUBMAXILAR|527.2||0
ADENITIS SUBMAXILAR DERECHA|527.2||0
ADENOAMIGDALITIS CRONICA.|474.0||0
ADENOCA. COLON|153.9||0
ADENOCA COLON|153.9||0
ADENOCA. COLON INTERVENIDO|153.9|V67.0|0
ADENOCA DE COLON T3-N1-M0|153.9||0
ADENOCA. DE INTESTINO GRUESO ESTADIO B|159.0||0
ADENOCA DE PROSTATA|185||0
ADENOCA DE PROSTATA.|185||0
ADENOCA DE PROSTATA BIEN DIFERENCIADO|185||0
ADENOCA DE PROSTATA GRADO 6|185||0
ADENOCA. DE RECTO ESTADIO C|154.1||0
ADENOCA. DUCTAL PANCREATICO|157.9||0
ADENOCA. ENDOMETRIAL|182.0||0
ADENOCA. ENDOMETRIO|182.0||0
ADENOCA ESOFAGO CERVICAL. ESTADIO IV|150.0||0
ADENOCA FOLICULAR DE TIROIDES|193||0
ADENOCA. FORNIX CON AFECTACION CARDIAL.|151.8||0
ADENOCA GASTRICO|151.9||0
ADENOCA INTEST GRUESO( ESTADIO B)|159.0||0
ADENOCA. INTESTINAL|159.0||0
ADENOCA. INTESTINAL BIEN DIFERENCIADO|159.0||0
