NOM_CODIGO|NOM_DENOMINACION
164525|MSUD MAXAMAID 500 G, 1 BOTE, SABOR NEUTRO
164541|XLYS LOW TRY MAXAMAID 500 G, 1 BOTE, SABOR NEUTRO
166256|GLUCERNA SR 230 ML, 27 BRIK, SABOR CHOCOLATE
166264|MAXIVIT PEDIATRICO CON AZUCARES Y EDULCORANTE 200G, 1 BOTE, SABOR PIÑA
166306|NUTRICIA PREOP 200 ML, 30 BRIK, SABOR LIMON
166314|RESOURCE ARGINAID 7 G, 90 SOBRES, SABOR NEUTRO
166322|FORTISIP POLVO 54 G, 10 SOBRES, SABOR VAINILLA
166330|FORTISIP POLVO 54 G, 10 SOBRES, SABOR FRESA
166348|FORTISIP POLVO 54 G, 10 SOBRES, SABOR CHOCOLATE
166363|L-ORNITINA SHS 100 G, 1 BOTE, SABOR NEUTRO
166371|NUTRISON ADVANCED CUBISON 1000 ML, 8 PACK, SABOR VAINILLA
166389|GALACTOMIN 19 FORMULA 400 G, 1 BOTE, SABOR NEUTRO
166397|RESOURCE MIX INSTANT HF 350 G, 6 ESTUCHES, SABOR JAMON
166405|RESOURCE MIX INSTANT HF 350 G, 6 ESTUCHES, SABOR VERDURAS
166413|RESOURCE MIX INSTANT NF 350 G, 6 ESTUCHES, SABOR POLLO
166421|RESOURCE MIX INSTANT NF 350 G, 6 ESTUCHES, SABOR TERNERA
166439|RESOURCE MIX INSTANT NF 350 G, 6 ESTUCHES, SABOR PESCADO
166447|DIBEN 500 ML, 12 BOLSAS, SABOR NEUTRO
166454|NEPRO 500 ML, 15 BOTELLAS, SABOR VAINILLA
166488|DIETGRIF DIABETICO 500 ML, 12 FRASCOS, SABOR VAINILLA
166504|DIASIP 200 ML, 30 BOTELLAS, SABOR FRESA
166512|DIASIP 200 ML, 3 BOTELLAS, SABOR FRESA
167141|LISUBEL CHEK QX-PROD TD 4311
167913|LISUBEL CHECK 50 TIRAS
168484|NUTRISON ADVANCED DIASON 500 ML, 12 BOTELLAS, SABOR NEUTRO
169524|GLUCOTIDE 50 TIRAS
173369|VEGENAT-MED ESPESANTE 9 G, 75 SOBRES, SABOR NEUTRO
173377|VEGENAT-3 PLUS POLLO 69 G, 30 SOBRES
173385|VEGENAT-3 PLUS PAVO 69 G, 30 SOBRES
173393|VEGENAT-3 PLUS VERDURAS 69 G, 30 SOBRES
173401|VEGENAT-3 PLUS TERNERA 69 G, 30 SOBRES
173427|VEGENAT-3 PLUS MERLUZA 69 G, 30 SOBRES
173435|VEGENAT-3 PLUS LENTEJAS 69 G, 30 SOBRES
173443|VEGENAT-3 PLUS HUEVO 69 G, 30 SOBRES
173450|VEGENAT-3 PLUS GUISANTES CON JAMON 69 G, 30 SOBRES
173468|VEGENAT-3 PLUS GARBANZOS 69 G, 30 SOBRES
173476|RESOURCE JUNIOR 200 ML, 24 BOTELLAS, SABOR VAINILLA
173484|RESOURCE JUNIOR 200 ML, 24 BOTELLAS, SABOR FRESA
173492|NEOCATE ADVANCE 50 G, 15 SOBRES, SABOR PLATANO-VAINILLA
173500|FLEET PKU GEL 500 G, 1 BOTE, SABOR NEUTRO
173526|FLEET PKU 2 500 G, 1 BOTE, SABOR NEUTRO
173534|FLEET PKU  3 500 G, 1 BOTE, SABOR NEUTRO
173542|PHLEXY-10 DRINK MIX 20 G, 30 SOBRES, SABOR TROPICAL
173559|PHLEXY-10 DRINK MIX 20 G, 30 SOBRES, SABOR LIMON
173591|SONDALIS FIBRA 500 ML, 12 BOLSAS
173617|RESOURCE BEBIDA ESPESADA 200 ML, 24 COMBIBLOC, SABOR NARANJA
173625|NUTRISON 500 ML, 8 PACK, SABOR NEUTRO
173633|NUTRISON MULTI FIBRE 500 ML, 8 PACK, SABOR NEUTRO
173641|ANAMIX 29 G, 30 SOBRES, SABOR FRUTAS DEL BOSQUE
173658|JEVITY HICAL 500 ML, 15 BOTELLAS, SABOR NEUTRO
173666|ISOTONAR 18,34 G, 6 SOBRES
173682|RESOURCE INSTANT PROTEIN 400 G, 6 BOTES, SABOR NEUTRO
173690|RESOURCE ESPESANTE 227 G, 6 BOTES, SABOR NEUTRO
173708|RESOURCE DEXTRINE MALTOSE 500 G, 6 ESTUCHES, SABOR NEUTRO
173716|RESOURCE COMPLEX 10 G, 90 SOBRES
173724|ISOSOURCE JUNIOR FIBRA 250 ML, 24 BOTELLAS, SABORFRESA
173732|ISOSOURCE JUNIOR FIBRA 250 ML, 24 BOTELLAS, SABORCHOCOLATE
173757|CLINUTREN 1,5 200 ML, 24 BOTELLAS, SABOR CAFE
173773|VEGENAT-3 PLUS PATATA CON ZANAHORIA 69 G, 30 SOBRES, SABOR PATATAS Y ZANAHORIA
173823|NOVASOURCE GI CONTROL 500 ML, 15 FLEXIBAG, SABOR NEUTRO
173831|LIQUIGEN 250 ML, 1 BOTELLA, SABOR NEUTRO
173849|MEZCLA COMPLETA DE AMINOACIDOS SHS 200 G, 1 BOTE,SABOR NEUTRO
173856|MODULO DE D-MANOSA SHS 250 G, 1 BOTE, SABOR NEUTRO
173864|L-LEUCINA SHS 100 G, 1 BOTE, SABOR NEUTRO
173872|TYROS 1 450 G, 1 BOTE, SABOR NEUTRO
173880|TYROS 2 450 G, 1 BOTE, SABOR NEUTRO
173898|BCAD 1 450 G, 1 BOTE, SABOR NEUTRO
173922|BCAD 2 450 G, 1 BOTE, SABOR NEUTRO
173930|FORTINI 200 ML, 3 BRIK, SABOR VAINILLA
173948|NUTILIS 9 G, 20 SOBRES, SABOR NEUTRO
173963|SANUTRI FQ 360 G, 1 BOTE, SABOR NEUTRO
173971|SANUTRI FQ 60 G, 6 SOBRES, SABOR CHOCOLATE
173989|RESOURCE SUPPORT 200 ML, 24 BRIK, SABOR CAFE
173997|RESOURCE SUPPORT 200 ML, 24 BRIK, SABOR VAINILLA
174565|PKU ANAMIX JUNIOR 29 G, 30 SOBRES, SABOR NEUTRO
174573|PKU ANAMIX JUNIOR 29 G, 30 SOBRES, SABOR PIÑA-VAINILLA
174599|FRESUBIN ORIGINAL FIBRA 500 ML, 8 BOLSAS, SABOR NEUTRO
174730|FRESUBIN ORIGINAL FIBRA 1000 ML, 8 BOLSAS, SABOR NEUTRO
175133|FRESUBIN HP ENERGY 500 ML, 8 BOLSAS, SABOR NEUTRO
176776|MODULO DE AMINOACIDOS RAMIFICADOS SHS 200 G, 1 BOTE, SABOR NEUTRO
176784|SURVIMED OPD 500 ML, 8 BOLSAS, SABOR NEUTRO
176834|CARBOHYDRATE-FREE MIXTURE SHS 225 G, 1 BOTE, SABOR NEUTRO
179473|ALMIRON PEPTI 1 400 G, 1 BOTE, SABOR NEUTRO
179713|KINDERGEN 400 G, 1 BOTE, SABOR NEUTRO
180091|DIASIP 200 ML, 30 BRIK, SABOR VAINILLA
180141|FRESUBIN ORIGINAL FIBRE 500 ML, 12 BOTELLAS, SABOR NEUTRO
180430|JEVITY PLUS 1500 ML, 6 BOTELLAS, SABOR NEUTRO
180448|DIASIP 200 ML, 3 BRIK, SABOR VAINILLA
180489|NEPRO 236 ML, 24 LATAS, SABOR NUEZ
180497|SIMILAC L 375 G, 1 BOTE, SABOR NEUTRO
181552|SUPREME
181586|ISOSOURCE JUNIOR FIBRA 250 ML, 24 BOTELLAS, SABORVAINILLA
181784|JEVITY R.T.H. 1500 ML, 6 BOTELLAS, SABOR NEUTRO
181897|FREESTYLE PAPILLON 50 TIRAS
181898|FREESTYLE PAPILLON 100 TIRAS
182279|NEPRO 236 ML, 24 LATAS, SABOR VAINILLA
182287|ISOSOURCE PROTEIN FIBRA 500 ML, 12 BOTELLAS, SABOR VAINILLA
183665|OSMOLITE HN R.T.H. 1500 ML, 6 BOTELLAS, SABOR NEUTRO
184192|NEOCATE ADVANCE 400 G, 1 BOTE, SABOR NEUTRO
185116|MSUD MAXAMUM 500 G, 1 BOTE, SABOR NARANJA
185124|XPHEN, TYR MAXAMUM 500 G, 1 BOTE, SABOR NEUTRO
185132|XLYS LOW TRY MAXAMUM 500 G, 1 BOTE, SABOR NEUTRO
185512|XPTM MAXAMAID 500 G, 1 BOTE, SABOR NEUTRO
185686|HEPATICAL 100 G, 10 SOBRES, SABOR NEUTRO
185710|L-TRIPTOFANO SHS 100 G, 1 BOTE, SABOR NEUTRO
185736|GENERAID PLUS 400 G, 1 BOTE, SABOR NEUTRO
185744|L-PROLINA SHS 100 G, 1 BOTE, SABOR NEUTRO
185991|NUTRAMIGEN 1 400 G, 1 BOTE, SABOR NEUTRO
186171|NUTRAMIGEN 2 LGG 400 G, 1 BOTE, SABOR NEUTRO
186189|RESOURCE CREMA 150 G, 24 TARRINA, SABOR VAINILLA
186197|RESOURCE CREMA 150 G, 24 TARRINA, SABOR FRUTAS DEL BOSQUE
186320|RESOURCE CREMA 150 G, 24 TARRINA, SABOR CAFE
186338|PFD 1 450 G, 1 BOTE, SABOR NEUTRO
186346|PFD 2 450 G, 1 BOTE, SABOR NEUTRO
188060|RESOURCE BEBIDA ESPESADA 200 ML, 24 COMBIBLOC, SABOR LIMON
190355|EUROFLASH 50 TIRAS
190447|DUOCAL MCT 400 G, 1 BOTE, SABOR NEUTRO
190652|ENSURE HN 250 ML, 24 LATAS, SABOR CAFE
190660|ENSURE HN 250 ML, 24 LATAS, SABOR CHOCOLATE
190678|GLUCERNA 500 ML, 15 BOTELLAS, SABOR VAINILLA
190686|PROMOTE 500 ML, 15 BOTELLAS, SABOR VAINILLA
191767|CHOLESTEROL MODULE SHS 450 G, 1 BOTE, SABOR NEUTRO
191809|MERITENE COMPLET 250 ML, 24 BOTELLAS, SABOR VAINILLA
191882|BLEMIL PLUS 1 SOJA 400 G, 1 ESTUCHE
192013|BLEMIL PLUS FH 400 G, 1 ESTUCHE
192344|BLEMIL PLUS SL 400 G, 1 ESTUCHE
194779|DIETGRIF ESTANDAR 500 ML, 12 FRASCOS, SABOR FRESA
194910|GLUCOSTIX FOIL 50 TIRAS
194985|DIETGRIF ENERGETICO 500 ML, 12 FRASCOS, SABOR VAINILLA
194993|NUTRISON 500 ML, 12 BOTELLAS, SABOR VAINILLA
195073|NUTRISON 500 ML, 12 BOTELLAS, SABOR FRESA
195081|NUTRISON 500 ML, 12 BOTELLAS, SABOR CAFE
195651|HEPATICAL 100 G, 10 SOBRES, SABOR PLATANO-CARAMELO
195727|NUT TENEX 500 ML, 12 BOTELLAS, SABOR VAINILLA
195768|NUT TENEX 500 ML, 12 BOTELLAS, SABOR NEUTRO
195792|SUPRACAL 250 ML, 1 BOTELLA, SABOR NEUTRO
195800|ENSURE JUNIOR PLUS R.T.H. 500 ML, 15 BOTELLAS, SABOR VAINILLA
195818|ENSURE JUNIOR PLUS 200 ML, 27 BRIK, SABOR VAINILLA
195826|ENSURE JUNIOR PLUS 200 ML, 27 BRIK, SABOR FRESA
195834|GLUCERNA SR 230 ML, 27 BRIK, SABOR FRESA
196576|GLUCERNA SR 230 ML, 27 BRIK, SABOR VAINILLA
196584|ENSURE PLUS FRESH 220 ML, 27 BRIK, SABOR PIÑA
196600|ENSURE PLUS FRESH 220 ML, 27 BRIK, SABOR MELOCOTON
196618|DIARICAL PECTINA 400 G, 1 BOTE, SABOR NEUTRO
196709|VEGENAT-MED 110 G, 12 SOBRES, SABOR POLLO
196717|VEGENAT-MED 110 G, 12 SOBRES, SABOR JAMON
197376|ELEMENTAL 028 EXTRA LIQUIDO 250 ML, 18 BRIK, SABOR POMELO
197483|VEGENAT-MED 110 G, 12 SOBRES, SABOR TERNERA
197491|VEGENAT-MED 110 G, 12 SOBRES, SABOR PESCADO
197509|VEGENAT-MED 110 G, 12 SOBRES, SABOR LENTEJAS
197517|VEGENAT-MED 110 G, 12 SOBRES, SABOR GARBANZOS
197533|VEGENAT-MED 110 G, 12 SOBRES, SABOR VERDURAS
197913|VEGENAT-MED 110 G, 12 SOBRES, SABOR HORTALIZAS
197947|VEGENAT-MED 110 G, 12 SOBRES, SABOR NARANJA
197954|VEGENAT-MED 110 G, 12 SOBRES, SABOR MANZANA
198002|VEGENAT-MED 110 G, 12 SOBRES, SABOR MIEL
198051|VEGENAT-MED 110 G, 12 SOBRES, SABOR CHOCOLATE
198069|NUTRINI ENERGY 200 ML, 12 BOTELLAS, SABOR NEUTRO
198259|NUTRINI ENERGY MULTI FIBRE 200 ML, 12 BOTELLAS, SABOR NEUTRO
198457|SUPRACAL CON AZUCAR 250 ML, 1 BOTELLA, SABOR FRESA
199935|PROSURE 240 ML, 27 BRIK, SABOR VAINILLA
199943|PROSURE 240 ML, 27 BRIK, SABOR PLATANO
199950|PROSURE 240 ML, 27 BRIK, SABOR NARANJA
199968|STIMULANCE MULTI FIBRE MIX 400 G, 1 BOTE, SABOR NEUTRO
200594|ACHTUNG 50 TIRAS
200599|ACCU-CHEK AVIVA 50 TIRAS
202325|NUTRIBEN SIN LACTOSA 400 G, 1 LATA, SABOR NEUTRO
202648|ISOSOURCE MIX 500 ML, 15 FLEXIBAG, SABOR NEUTRO
202663|NOVASOURCE DIABET 500 ML, 15 FLEXIBAG, SABOR NEUTRO
203000|GLICINA SHS 100 G, 1 BOTE, SABOR NEUTRO
203018|L-CISTINA SHS 100 G, 1 BOTE, SABOR NEUTRO
203034|EMSOGEN 100 G, 10 SOBRES, SABOR NEUTRO
203042|EMSOGEN 100 G, 10 SOBRES, SABOR NARANJA
203059|ESSENTIAL AMINO ACID MIX NUTRICIA 200 G, 1 BOTE, SABOR NEUTRO
203067|L-ISOLEUCINA SHS 100 G, 1 BOTE, SABOR NEUTRO
203083|L-VALINA SHS 100 G, 1 BOTE, SABOR NEUTRO
203091|L-ALANINA SHS 100 G, 1 BOTE, SABOR NEUTRO
204735|ELEMENTAL 028 EXTRA LIQUIDO 250 ML, 18 BRIK, SABOR FRUTAS DEL BOSQUE
205369|ELEMENTAL 028 EXTRA 100 G, 10 SOBRES, SABOR NEUTRO
205575|NUTRISON 1000 ML, 8 PACK, SABOR NEUTRO
206391|GLUCOPAT
206664|ELEMENTAL 028 EXTRA 100 G, 10 SOBRES, SABOR NARANJA
208124|ENSURE HN 250 ML, 24 LATAS, SABOR POLLO
208132|OXEPA 500 ML, 15 BOTELLAS, SABOR NEUTRO
209015|MERITENE COMPLET 250 ML, 24 BOTELLAS, SABOR CHOCOLATE
210187|XLYS, TRY GLUTARIDON 200 G, 1 BOTE, SABOR NEUTRO
211722|XMTVI ASADON 200 G, 1 BOTE, SABOR NEUTRO
211904|ALMIRON PREGOMIN 400 G, 1 BOTE
212423|NUTRIBEN SOJA 400 G, 1 LATA, SABOR NEUTRO
212787|XLEU FALADON 200 G, 1 BOTE, SABOR NEUTRO
214809|PRODUCTO 3232A 454 G, 1 BOTE
214817|PRODUCTO 3200 AB 454 G, 1 BOTE
214890|MSUD 454 G, 1 BOTE
215855|XPHEN, TYR TYROSIDON 500 G, 1 BOTE, SABOR NEUTRO
215871|XPTM TYROSIDON 500 G, 1 BOTE, SABOR NEUTRO
216523|HISTIDON 500 G, 1 BOTE
219592|ENSURE HN 500 ML, 15 BOTELLAS, SABOR VAINILLA
219618|ENSURE CON FIBRA 500 ML, 15 BOTELLAS, SABOR VAINILLA
220087|MERITENE COMPLET 250 ML, 24 BOTELLAS, SABOR FRUTAS
220855|BM-TEST GLYCEMIE 20-800R 50 TIRAS
221051|DIATEK GLUCOSE 50 TIRAS
221275|DIETGRIF HIPERPROTEICO 500 ML, 12 FRASCOS, SABOR NEUTRO
224071|GLUCOVAL 50 TIRAS
224451|MSUD AID III 500 G, 1 BOTE, SABOR NEUTRO
224873|ACEITE MCT SHS 500 ML, 1 BOTELLA, SABOR NEUTRO
226480|GLUCERNA FI 250 ML, 24 LATAS, SABOR VAINILLA
230706|NUTRISON MULTI FIBRE 500 ML, 12 BOTELLAS, SABOR NEUTRO
234815|ISOSOURCE STANDARD 500 ML, 12 BOTELLAS, SABOR FRUTAS
234823|ISOSOURCE PROTEIN 500 ML, 12 BOTELLAS, SABOR FRUTAS
236638|JEVITY PLUS 500 ML, 15 BOTELLAS, SABOR NEUTRO
237131|NUTRISON ADVANCED DIASON LOW ENERGY 1000 ML, 8 PACK, SABOR NEUTRO
237412|DIETGRIF ESTANDAR FIBRA 85/15 500 ML, 12 FRASCOS,SABOR CHOCOLATE
238105|NUTRISON MULTI FIBRE 1000 ML, 8 PACK, SABOR NEUTRO
238113|NUTRISON ENERGY 1000 ML, 8 PACK, SABOR NEUTRO
238121|NUTRISON SOYA 1000 ML, 8 PACK, SABOR NEUTRO
238139|NUTRISON LOW SODIUM 1000 ML, 8 PACK, SABOR NEUTRO
238154|NUTRISON PRE 1000 ML, 8 PACK, SABOR NEUTRO
238162|NUTRISON ADVANCED PEPTISORB 1000 ML, 8 PACK, SABOR NEUTRO
238196|NUTRISON MCT 1000 ML, 8 PACK, SABOR NEUTRO
238204|NUTRISON PROTEIN PLUS 1000 ML, 8 PACK, SABOR NEUTRO
238212|NUTRISON LOW ENERGY 1000 ML, 8 PACK, SABOR NEUTRO
238840|RESOURCE 2.0 200 ML, 24 BOTELLAS, SABOR VAINILLA
239269|NOVASOURCE GI CONTROL 500 ML, 12 BOTELLAS, SABOR VAINILLA
239277|NOVASOURCE GI CONTROL 250 ML, 24 BOTELLAS, SABOR VAINILLA
239400|PKU 1 MIX 1000 G, 1 BOTE
239467|OSMOLITE HN R.T.H. 1000 ML, 8 BOTELLAS, SABOR NEUTRO
239475|ENSURE PLUS HN 1000 ML, 8 BOTELLAS, SABOR NEUTRO
239483|PERATIVE R.T.H. 1000 ML, 8 BOTELLAS, SABOR NEUTRO
239509|XPHEN, TYR MAXAMAID 500 G, 1 BOTE, SABOR NEUTRO
239913|XMET HOMIDON 200 G, 1 BOTE, SABOR NEUTRO
244863|IMPACT ENTERAL 500 ML, 12 SMARTFLEX, SABOR NEUTRO
244905|NOVASOURCE DIABET PLUS 500 ML, 12 BOTELLAS, SABORVAINILLA
245076|ENSURE POLVO 54,1 G, 50 SOBRES, SABOR VAINILLA
245373|ENSURE POLVO 54,1 G, 50 SOBRES, SABOR CHOCOLATE
247288|SUPLENA 236 ML, 24 LATAS, SABOR VAINILLA
248252|INMUNONUTRIL 98 G, 6 SOBRES, SABOR CAFE
248260|INMUNONUTRIL 98 G, 6 SOBRES, SABOR BISCUIT
248278|INMUNONUTRIL 98 G, 6 SOBRES, SABOR COCO
248286|INMUNONUTRIL 98 G, 6 SOBRES, SABOR FRESA
248427|ISOSOURCE FIBRA 500 ML, 12 BOTELLAS, SABOR FRUTAS
248864|ONE TOUCH 50 TIRAS
249367|NEOCATE ADVANCE 100 G, 10 SOBRES, SABOR NEUTRO
250159|NOVASOURCE DIABET 500 ML, 12 BOTELLAS, SABOR VAINILLA
252049|ISOSOURCE ENERGY 250 ML, 24 BOTELLAS, SABOR FRUTAS
252197|ISOSOURCE JUNIOR 250 ML, 24 BOTELLAS, SABOR TUTTI-FRUTTI
252346|FREESTYLE OPTIUM 50 TIRAS
252817|G.E.A. 400 G, 1 BOTE
252833|ENERGIVIT 400 G, 1 BOTE, SABOR NEUTRO
253765|PHLEXY-VITS 7 G, 30 SOBRES
254102|GLUCOCARD TEST STRIPS 50 TIRAS
255901|SOM2 400 G, 1 BOTE
256404|ASCENSIA GLUCODISC 50 TIRAS
256800|NUTRISON ENERGY MULTI FIBRE 1000 ML, 8 PACK, SABOR NEUTRO
257873|XLEU MAXAMUM 500 G, 1 BOTE, SABOR NEUTRO
257899|NUTRISON PROTEIN PLUS MUL TIFIBRE 1000 ML, 8 PACK, SABOR NEUTRO
258970|ENSURE PLUS 200 ML, 27 BRIK, SABOR PLATANO
259135|GENERAID 200 G, 1 BOTE, SABOR NEUTRO
259143|DUOCAL 400 G, 1 BOTE, SABOR NEUTRO
259226|NEOCATE 400 G, 1 BOTE, SABOR NEUTRO
259234|XP ANALOG 400 G, 1 BOTE, SABOR NEUTRO
259259|XP MAXAMUM 500 G, 1 BOTE, SABOR NARANJA
260877|PROMOD 275 G, 6 BOTES
262972|ISOSOURCE STANDARD 500 ML, 12 BOTELLAS, SABOR CAFE
262980|ISOSOURCE STANDARD 500 ML, 12 SMARTFLEX, SABOR NEUTRO
264808|FREESTYLE FREEDOM 50 TIRAS
266478|RESOURCE JUNIOR 200 ML, 24 BOTELLAS, SABOR CHOCOLATE
266692|NUTRICOMP HEPA 500 ML, 12 FRASCOS, SABOR CHOCOLATE
267617|SURVIMED OPD 500 ML, 12 BOTELLAS, SABOR NEUTRO
267625|FRESUBIN ORIGINAL DRINK 500 ML, 12 BOTELLAS, SABOR VAINILLA
267641|FRESUBIN ORIGINAL DRINK 500 ML, 12 BOTELLAS, SABOR CHOCOLATE
267658|FRESUBIN HP ENERGY 500 ML, 12 BOTELLAS, SABOR NEUTRO
269449|O-LAC 400 G, 1 BOTE, SABOR NEUTRO
269571|ELITE  50 TIRAS
300079|ISOSOURCE FIBRA 500 ML, 12 BOTELLAS, SABOR CARAMELO
300152|JEVITY R.T.H. 1000 ML, 8 BOTELLAS, SABOR NEUTRO
300210|TOUCH-IN 50 TIRAS
301002|ACCUTREND GLUCOSE 50 TIRAS
301564|POLYCOSE 350 G, 6 BOTES
303131|HCU ANAMIX INFANT 400 G, 1 BOTE, SABOR NEUTRO
303172|XMET MAXAMAID 500 G, 1 BOTE, SABOR NEUTRO
303180|XMET MAXAMUM 500 G, 1 BOTE, SABOR NEUTRO
303842|FORTIFRESH 200 ML, 30 BRIK, SABOR PIÑA
304865|NUTRISON ADVANCED PEPTISORB 500 ML, 12 BOTELLAS, SABOR NEUTRO
304873|ENSURE CON FIBRA 250 ML, 24 LATAS, SABOR CHOCOLATE
305888|ELEMENTAL 028 EXTRA 250 ML, 18 BRIK, SABOR NARANJA-PIÑA
305896|IVA ANAMIX INFANT 400 G, 1 BOTE, SABOR NEUTRO
305946|PHLEXY-10 BAR 42 G, 20 BARRAS, SABOR FRUTAS
305953|MAXIVIT PEDIATRICO 200 G, 1 BOTE, SABOR NEUTRO
306688|MILTINA SIN LACTOSA 400 G, 1 LATA, SABOR NEUTRO
307306|ACCU-CHEK COMPACT 50 TIRAS
308866|GA 1 ANAMIX INFANT 400 G, 1 BOTE, SABOR NEUTRO
308874|PKU ANAMIX INFANT 400 G, 1 BOTE, SABOR NEUTRO
308999|P-AM 1 500 G, 1 BOTE, SABOR NEUTRO
309005|P-AM 2 500 G, 1 BOTE, SABOR NEUTRO
309013|P-AM 3 500 G, 1 BOTE, SABOR NEUTRO
309583|SONDALIS ISO 1000 ML, 6 BOLSAS, SABOR NEUTRO
309955|SONDALIS 1,5 1000 ML, 6 BOLSAS, SABOR NEUTRO
311795|SONDALIS HP 1000 ML, 6 BOLSAS, SABOR NEUTRO
311860|ONE TOUCH ULTRA 50 TIRAS ( 2 VIALES DE 25 TIRAS CA
311962|BREEZE 2 50 TIRAS
312009|DIETGRIF MCT 500 ML, 12 FRASCOS, SABOR VAINILLA
312025|DIETGRIF MCT 500 ML, 12 FRASCOS, SABOR NEUTRO
312041|DIETGRIF ESTANDAR 500 ML, 12 FRASCOS, SABOR VAINILLA
312066|DIETGRIF ESTANDAR 500 ML, 12 FRASCOS, SABOR NEUTRO
312082|DIETGRIF POLIPEPTIDICO 500 ML, 12 FRASCOS, SABOR NEUTRO
313759|SONDALIS FIBRA 1000 ML, 6 BOLSAS, SABOR NEUTRO
313825|SONDALIS DIABETES 1000 ML, 6 BOLSAS, SABOR NEUTRO
316307|DIETGRIF ESTANDAR 500 ML, 12 FRASCOS, SABOR CHOCOLATE
316604|NUTRISON POWDER 860 G, 1 BOTE, SABOR NEUTRO
316612|FANTOMALT 400 G, 1 BOTE, SABOR NEUTRO
320267|ENSURE PLUS FIBER 200 ML, 27 BRIK, SABOR FRAMBUESA
323972|MODULO DE ACEITE GTE SHS 1000 ML, 1 BOTELLA, SABOR NEUTRO
324384|SONDALIS ESTANDAR 500 ML, 12 BOTELLAS, SABOR VAINILLA
324897|ENSURE JUNIOR CON FIBRA 200 ML, 27 BRIK, SABOR VAINILLA
326223|JEVITY PLUS 1000 ML, 8 BOTELLAS, SABOR NEUTRO
327650|SONDALIS HP/HC 500 ML, 12 BOTELLAS, SABOR VAINILLA
328260|FREESTYLE LITE 50 TIRAS
329383|SONDALIS ESTANDAR FIBRA 500 ML, 12 BOTELLAS, SABOR FRUTAS DEL BOSQUE
330746|XLEU MAXAMAID 500 G, 1 BOTE, SABOR NEUTRO
332338|JEVITY R.T.H. 500 ML, 15 BOTELLAS, SABOR NEUTRO
332346|RESOURCE ESPESANTE 6,4 G, 75 SOBRES, SABOR NEUTRO
332411|NUTRIBEN HIDROLIZADA 400 G, 1 LATA, SABOR NEUTRO
333500|SONDALIS ESTANDAR DIABETES 500 ML, 12 BOTELLAS, SABOR VAINILLA
334417|ISOSOURCE STANDARD 250 ML, 24 BOTELLAS, SABOR VAINILLA
335018|PEPTAMEN 200 ML, 24 COPA, SABOR VAINILLA
335968|MODULEN IBD 400 G, 12 BOTES, SABOR NEUTRO
