PRES_CODIGO|PRES_DESCRIPCION
540046|ABSORBENTE INCONT ORINA SUPERNOCHEANATO , 60 UNIDADES, TALLA MEDIANA
540047|ABSORBENTE INCONT ORINA SUPERNOCHEANATO , 60 UNIDADES, TALLA GRANDE
540048|ABSORBENTE INCONT ORINA SUPERNOCHEANATO , 60 UNIDADES, TALLA UNICA
540050|ABSORBENTE INCONT ORINA SUPERNOCHEANATO , 80 UNIDADES, TALLA GRANDE
540051|ABSORBENTE INCONT ORINA SUPERNOCHEANATO , 80 UNIDADES, TALLA UNICA
540052|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 20 UNIDADES, TALLA MEDIANA
540053|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 20 UNIDADES, TALLA GRANDE
540054|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 40 UNIDADES, TALLA MEDIANA
540055|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 40 UNIDADES, TALLA GRANDE
540056|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 60 UNIDADES, TALLA MEDIANA
540057|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 60 UNIDADES, TALLA GRANDE
540058|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 80 UNIDADES, TALLA PEQUEÑA
540059|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 80 UNIDADES, TALLA MEDIANA
540060|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 80 UNIDADES, TALLA GRANDE
540061|ABSORBENTE INCONT ORINA DIA ANATO ELASTICO, 80 UNIDADES, TALLA MEDIANA
540062|ABSORBENTE INCONT ORINA DIA ANATO ELASTICO, 80 UNIDADES, TALLA GRANDE
540079|ABSORBENTE INCONT ORINA DIA ANATO ELASTICO, 80 UNIDADES, TALLA EXTRA-PEQUEÑA
540081|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 60 UNIDADES, TALLA SUPER GRANDE
540082|ABSORBENTE INCONT ORINA DIA ANATO ELASTICO, 20 UNIDADES, TALLA PEQUEÑA
540083|ABSORBENTE INCONT ORINA NOCHE ANATO ELASTICO, 20 UNIDADES, TALLA PEQUEÑA
540084|ABSORBENTE INCONT ORINA NOCHE ANATO ELASTICO, 60 UNIDADES, TALLA PEQUEÑA
540085|ABSORBENTE INCONT ORINA SUPERNOCHE RECTANGULAR,, 20 UNIDADES, TALLA UNICA
540086|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 20 UNIDADES, TALLA PEQUEÑA
540087|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 40 UNIDADES, TALLA PEQUEÑA
540088|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 60 UNIDADES, TALLA PEQUEÑA
540089|ABSORBENTE INCONT ORINA SUPERNOCHE ANATO ELASTICO, 60 UNIDADES, TALLA UNICA
540090|ABSORBENTE INCONT ORINA DIA ANATO ELASTICO, 20 UNIDADES, TALLA GRANDE
540091|ABSORBENTE INCONT ORINA DIA ANATO ELASTICO, 40 UNIDADES, TALLA PEQUEÑA
540092|ABSORBENTE INCONT ORINA DIA ANATO ELASTICO, 60 UNIDADES, TALLA MEDIANA
545000|ALGODON ARROLLADO MEZCLA 1000 (G), 1 ENVASE
545001|ALGODON ARROLLADO MEZCLA 250 (G), 1 ENVASE
545002|ALGODON ARROLLADO MEZCLA 500 (G), 1 ENVASE
545003|ALGODON ARROLLADO PURO 1000 (G), 1 ENVASE
545004|ALGODON ARROLLADO PURO 250 (G), 1 ENVASE
545005|ALGODON ARROLLADO PURO 500 (G), 1 ENVASE
545007|ALGODON ZIG - ZAG PURO 100 (G), 1 ENVASE
545008|ALGODON ZIG - ZAG PURO 200 (G), 1 ENVASE
545009|ALGODON ZIG - ZAG PURO 50 (G), 1 ENVASE
545036|BOLSAS RECOGIDA ORINA 2 (L), 10 UNIDADES
545037|BOLSAS RECOGIDA ORINA 2 (L), 20 UNIDADES
545038|BOLSAS RECOGIDA ORINA 2 (L), 30 UNIDADES
545040|BOLSAS RECOGIDA ORINA PIERNA 500 (ML), 30 UNIDADES
545041|BOLSAS RECOGIDA ORINA PIERNA 750 (ML), 10 UNIDADES
545042|BOLSAS RECOGIDA ORINA PIERNA 750 (ML), 30 UNIDADES
545048|BRAGUERO INGUINAL BILATERAL, 1 ENVASE
545049|BRAGUERO INGUINAL DERECHO, 1 ENVASE
545050|BRAGUERO INGUINAL IZQUIERDO, 1 ENVASE
545051|CALCETIN ELASTICO TERAPEUTICO, 1 ENVASE
545052|CAMARA INHALACION, 1 ENVASE
545055|CINTURON OSTOMIA, 1 ENVASE
545056|CODERA, 1 ENVASE
545061|DUCHA VAGINAL, 1 ENVASE
545062|ESPARADRAPO 10X10 (M X CM), 1 ENVASE
545063|ESPARADRAPO 5X1,5 (M X CM), 1 ENVASE
545064|ESPARADRAPO 5X10 (M X CM), 1 ENVASE
545065|ESPARADRAPO 5X2 (M X CM), 1 ENVASE
545066|ESPARADRAPO 5X2,5 (M X CM), 1 ENVASE
545067|ESPARADRAPO 5X5 (M X CM), 1 ENVASE
545068|ESPARADRAPO HIPOALERGICO 10X10 (M X CM), 1 ENVASE
545069|ESPARADRAPO HIPOALERGICO 5X1,25 (M X CM), 1 ENVASE
545070|ESPARADRAPO HIPOALERGICO 5X2,5 (M X CM), 1 ENVASE
545071|ESPARADRAPO HIPOALERGICO 5X5 (M X CM), 1 ENVASE
545072|FILTROS COLOST, 1 ENVASE
545073|FUNDA OSTOMIA, 1 ENVASE
545078|GASA NO ESTERIL 1 (M2), 1 ENVASE
545079|GASA NO ESTERIL 1/2 (M2), 1 ENVASE
545080|GASA NO ESTERIL 1/4 (M2), 1 ENVASE
545081|INHALADOR, 1 ENVASE
545082|INSUFLADOR, 1 ENVASE
545083|IRRIGADOR COMPLETO, 1 ENVASE
545085|MEDIA CORTA (A-D) COMP FUERTE, 1 ENVASE
545086|MEDIA ENTERA CINT COMP FUERTE, 1 ENVASE
545087|MEDIA LARGA (A-F) COMP FUERTE, 1 ENVASE
545088|MEDIA LARGA (A-G) COMP FUERTE, 1 ENVASE
545089|MEDIA LARGA SUJ COMP FUERTE, 1 ENVASE
545090|MEDIAS E.T. CINT COMP FUERTE, 1 ENVASE
545091|MUSLERA, 1 ENVASE
545092|MUÑEQUERA, 1 ENVASE
545093|MUÑEQUERA METACARPIANA, 1 ENVASE
545095|PARCHES OCULARES, 1 ENVASE
545097|RODILLERA, 1 ENVASE
545102|SONDA GASTRICA, 1 ENVASE
545108|SOPORTE CINTURON OSTOMIA, 1 ENVASE
545109|SUSPENSORIO, 1 ENVASE
545110|TOBILLERA, 1 ENVASE
545111|VENDA DE GASA ELASTICA 10X10 (CM), 1 ENVASE
545112|VENDA DE GASA ELASTICA 5X5 (CM), 1 ENVASE
545113|VENDA DE GASA HIDROFILA 10X10 (CM), 1 ENVASE
545114|VENDA DE GASA HIDROFILA 5X10 (CM), 1 ENVASE
545115|VENDA DE GASA HIDROFILA 5X5 (CM), 1 ENVASE
545116|VENDA DE GASA HIDROFILA 5X7 (CM), 1 ENVASE
545117|VENDA DE GASA HIDROFILA CAMBRIC 10X10 (CM), 1 ENVASE
545118|VENDA DE GASA HIDROFILA CAMBRIC 5X10 (CM), 1 ENVASE
545119|VENDA DE GASA HIDROFILA CAMBRIC 5X5 (CM), 1 ENVASE
545120|VENDA DE GASA HIDROFILA CAMBRIC 5X7 (CM), 1 ENVASE
545121|VENDA DE MALLA HIDROFILA 10X10 (CM), 1 ENVASE
545122|VENDA DE MALLA HIDROFILA 5X10 (CM), 1 ENVASE
545123|VENDA DE MALLA HIDROFILA 5X5 (CM), 1 ENVASE
545124|VENDA DE MALLA HIDROFILA 5X7 (CM), 1 ENVASE
545125|VENDA DE MALLA HIDROFILA CAMBRIC 10X10 (CM), 1 ENVASE
545126|VENDA DE MALLA HIDROFILA CAMBRIC 5X5 (CM), 1 ENVASE
545127|VENDA DE MALLA HIDROFILA CAMBRIC 5X7 (CM), 1 ENVASE
545128|VENDA ELASTICA 10X10 (M X CM), 1 ENVASE
545129|VENDA ELASTICA 4,5X10 (M X CM), 1 ENVASE
545130|VENDA ELASTICA 4,5X5 (M X CM), 1 ENVASE
545131|VENDA ELASTICA 4,5X7,5 (M X CM), 1 ENVASE
545132|VENDA ELASTICA 4X10 (M X CM), 1 ENVASE
545133|VENDA ELASTICA 4X5 (M X CM), 1 ENVASE
545134|VENDA ELASTICA 4X7 (M X CM), 1 ENVASE
545135|VENDA ELASTICA 5X10 (M X CM), 1 ENVASE
545136|VENDA ELASTICA 5X5 (M X CM), 1 ENVASE
545137|VENDA ELASTICA 5X7 (M X CM), 1 ENVASE
545138|VENDA ELASTICA ADHESIVA 4,5X10 (M X CM), 1 ENVASE
545139|VENDA ELASTICA ADHESIVA 4,5X7,5 (M X CM), 1 ENVASE
545140|VENDA ELASTICA ADHESIVA 4X5 (M X CM), 1 ENVASE
545141|COLECTOR BOLSA RECOGIDA ORINA AUTOADHESIVO, 30 UNIDADES
545142|COLECTOR BOLSA RECOGIDA ORINA CON TIRA, 12 UNIDADES
545145|ALGODON ZIG - ZAG MEZCLA 100 (G), 1 ENVASE
545146|ALGODON ZIG - ZAG MEZCLA 200 (G), 1 ENVASE
545147|ALGODON ZIG - ZAG MEZCLA 50 (G), 1 ENVASE
545152|BOLSAS RECOGIDA ORINA CON PINZA 2 (L), 1 UNIDAD
545153|GASA ESTERIL TIRA 5X2 (CM), 1 ENVASE
545157|CANULA TRAQUEOTOMIA FENESTRADA TRES PIEZAS TAMAÑO 4, 1 ENVASE
545158|COLECTOR BOLSA RECOGIDA ORINA FEMENINO, 1 UNIDAD
545242|SONDA RECTAL 22 (CH), 1 ENVASE
545243|SONDA RECTAL 25 (CH), 1 ENVASE
545244|SONDA RECTAL 28 (CH), 1 ENVASE
545245|SONDA RECTAL 30 (CH), 1 ENVASE
545246|SONDA RECTAL 32 (CH), 1 ENVASE
545319|VENDA ELASTICA COHESIVA 4,5X10 (M X CM), 1 ENVASE
545320|VENDA ELASTICA COHESIVA 4,5X5 (M X CM), 1 ENVASE
545321|VENDA ELASTICA COHESIVA 4,5X7,5 (M X CM), 1 ENVASE
545322|ESPARADRAPO HIPOALERGICO FLEXIBLE 10X10 (M X CM), 1 ENVASE
545323|ESPARADRAPO HIPOALERGICO FLEXIBLE 5X5 (M X CM), 1 ENVASE
545421|BOLSAS COLOST DOBLES RES SINT FIL, 30 UNIDADES
545422|BOLSAS COLOST KARAYA ADHESIVO MICROPORO, 30 UNIDADES
545423|BOLSAS COLOST KARAYA ADHESIVO MICROPORO CON FILTRO, 30 UNIDADES
545424|BOLSAS COLOST KARAYA CON FILTRO, 30 UNIDADES
545425|BOLSAS COLOST RESINA SINTETICA CON FILTRO, 30 UNIDADES
545426|BOLSAS COLOST RESINA SINTETICA MICROPORO FILTRO, 30 UNIDADES
545427|BOLSAS COLOST SIST DOBLE CON PLACA (CIERRE ESPECIAL), 30 UNIDADES
545428|BOLSAS COLOST SIST DOBLE, 30 UNIDADES
545429|BOLSAS COLOST SIST DOBLE ACOPLAM ADH, 30 UNIDADES
545430|BOLSAS COLOST SIST DOBLE CON PLACA, 30 UNIDADES
545431|BOLSAS DE COLOST SIST DOBLE PLACA ACOPL ADHESIVO, 30 UNIDADES
545432|BOLSAS ILEOST KARAYA CON ADHESIVO MICROPORO, 30 UNIDADES
545433|BOLSAS ILEOST RESINA SINT CON ADHESIVO MICROPORO, 30 UNIDADES
545434|BOLSAS ILEOST RESINA SINTETICA, 30 UNIDADES
545435|BOLSAS ILEOST SIST DOBLE ACOPLAM ADH, 30 UNIDADES
545436|BOLSAS ILEOST SIST DOBLE PLAC ACOPLAM ADH, 30 UNIDADES
545437|BOLSAS ILEOST SIST DOBLE CON PLACA, 30 UNIDADES
545438|BOLSAS ILEOST SIST DOBLE CON PLACA (CIERRE ESPECIAL), 30 UNIDADES
545439|BOLSAS ILEOSTOMIA RESINA SINTETICA CON FILTRO, 30 UNIDADES
545440|BOLSAS ILEOSTOMIA RESINA SINTETICA MICROPORO FILTRO, 30 UNIDADES
545441|BOLSAS UROST KARAYA CON ADHESIVO MICROPORO, 10 UNIDADES
545442|BOLSAS UROST RESINA SINTETICA CON ADHESIVO MICROPORO, 30 UNIDADES
545443|BOLSAS UROST SIST DOBLE CON PLACA, 1 UNIDAD
545444|BOLSAS UROST SIST DOBLE CON PLACA, 30 UNIDADES
545445|BOLSAS UROST SIST DOBLE CON PLACA (CIERRE ESPECIAL), 30 UNIDADES
545446|BOLSAS UROSTOMIA CON ADHESIVO, 30 UNIDADES
545447|GASA ESTERIL COMPRESAS, 100 UNIDADES
545448|GASA ESTERIL COMPRESAS, 25 UNIDADES
545449|GASA ESTERIL COMPRESAS, 50 UNIDADES
545452|OBTURADOR ANAL 13 MM, 20 UNIDADES
545456|PINZAS OSTOMIA, 1 UNIDAD
545457|PINZAS OSTOMIA, 5 UNIDADES
545458|SIST IRRIG COLOST, 1 UNIDAD
545459|SIST INCONT ORINA OCLUSIVO HOMBRE, 1 UNIDAD
545460|SIST INCONT ORINA OCLUSIVO HOMBRE, 2 UNIDADES
545461|MANGAS OSTOMIA C-P (CON PINZAS), 30 UNIDADES
545462|MANGAS OSTOMIA C-P (CON PINZAS), 50 UNIDADES
545463|SIST COLOST CONTINENTE, 10 UNIDADES
545547|BOLSAS RECOGIDA ORINA, 30 UNIDADES
545548|PARCHES OCULARES, 20 UNIDADES
545583|BOLSAS UROST RESINA SINTETICA CON ADHESIVO MICROPORO, 10 UNIDADES
545585|SONDA GASTRICA 6 (CH), 1 ENVASE
545586|SONDA GASTRICA 8 (CH), 1 ENVASE
545587|GELIFICADOR BOLSAS ILEOSTOMIA, 30 UNIDADES
545591|SISTEMA DE COMPRESION MULTICAPA 18X22 (CM), 1 ENVASE
545592|SISTEMA DE COMPRESION MULTICAPA 22X28 (CM), 1 ENVASE
545593|SISTEMA DE COMPRESION MULTICAPA 28X32 (CM), 1 ENVASE
545594|BOLSAS RECOGIDA ORINA PIERNA 600 (ML), 10 UNIDADES
545595|BOLSAS RECOGIDA ORINA PIERNA 800 (ML), 10 UNIDADES
545596|SONDA VESICAL 22 (CH), 10 UNIDADES
545599|SONDA VESICAL LATEX 12 (CH), 1 UNIDAD
545600|SONDA VESICAL LATEX 12 (CH), 5 UNIDADES
545601|SONDA VESICAL LATEX 12 (CH), 10 UNIDADES
545602|SONDA VESICAL LATEX 14 (CH), 1 UNIDAD
545603|SONDA VESICAL LATEX 14 (CH), 5 UNIDADES
545604|SONDA VESICAL LATEX 14 (CH), 10 UNIDADES
545605|SONDA VESICAL LATEX 16 (CH), 1 UNIDAD
545606|SONDA VESICAL LATEX 16 (CH), 5 UNIDADES
545607|SONDA VESICAL LATEX 16 (CH), 10 UNIDADES
545608|SONDA VESICAL LATEX 18 (CH), 1 UNIDAD
545609|SONDA VESICAL LATEX 18 (CH), 5 UNIDADES
545610|SONDA VESICAL LATEX 18 (CH), 10 UNIDADES
545611|SONDA VESICAL LATEX 20 (CH), 1 UNIDAD
545612|SONDA VESICAL LATEX 20 (CH), 5 UNIDADES
545613|SONDA VESICAL LATEX 20 (CH), 10 UNIDADES
545614|SONDA VESICAL LATEX 22 (CH), 1 UNIDAD
545615|SONDA VESICAL LATEX 22 (CH), 5 UNIDADES
545616|SONDA VESICAL LATEX 24 (CH), 1 UNIDAD
545617|SONDA VESICAL LATEX 24 (CH), 5 UNIDADES
545618|SONDA VESICAL LATEX 24 (CH), 10 UNIDADES
545619|SONDA VESICAL LATEX 26 (CH), 1 UNIDAD
545620|SONDA VESICAL LATEX 26 (CH), 5 UNIDADES
545621|SONDA VESICAL LATEX 26 (CH), 10 UNIDADES
545622|SONDA VESICAL LATEX 28 (CH), 1 UNIDAD
545623|SONDA VESICAL LATEX 28 (CH), 5 UNIDADES
545624|SONDA VESICAL LATEX 28 (CH), 10 UNIDADES
545625|SONDA VESICAL LATEX 30 (CH), 1 UNIDAD
545626|SONDA VESICAL LATEX 30 (CH), 5 UNIDADES
545627|SONDA VESICAL LATEX 30 (CH), 10 UNIDADES
545628|SONDA VESICAL NELATON 8 (CH), 1 UNIDAD
545629|SONDA VESICAL NELATON 10 (CH), 1 UNIDAD
545630|SONDA VESICAL NELATON 12 (CH), 1 UNIDAD
545631|SONDA VESICAL NELATON 14 (CH), 1 UNIDAD
545632|SONDA VESICAL NELATON 16 (CH), 1 UNIDAD
545633|SONDA VESICAL NELATON 18 (CH), 1 UNIDAD
545634|SONDA VESICAL SILICONA 12 (CH), 1 UNIDAD
545635|SONDA VESICAL SILICONA 14 (CH), 1 UNIDAD
545636|SONDA VESICAL SILICONA 16 (CH), 1 UNIDAD
545637|SONDA VESICAL SILICONA 18 (CH), 1 UNIDAD
545638|SONDA VESICAL SILICONA 20 (CH), 1 UNIDAD
545639|SONDA VESICAL SILICONA 22 (CH), 1 UNIDAD
545640|SONDA VESICAL SILICONA 24 (CH), 1 UNIDAD
545657|SONDA VESICAL LATEX B.5-10 ML 12 (CH), 1 UNIDAD
545658|SONDA VESICAL LATEX B.5-10 ML 14 (CH), 1 UNIDAD
545659|SONDA VESICAL LATEX B.5-10 ML 16 (CH), 1 UNIDAD
545660|SONDA VESICAL LATEX B.5-10 ML 18 (CH), 1 UNIDAD
545661|SONDA VESICAL LATEX B.5-10 ML 20 (CH), 1 UNIDAD
545662|SONDA VESICAL LATEX B.5-10 ML 22 (CH), 1 UNIDAD
545663|SONDA VESICAL LATEX B.5-10 ML 24 (CH), 1 UNIDAD
545664|SONDA VESICAL LATEX B.5-10 ML 26 (CH), 1 UNIDAD
545665|APOSITO DE HIDROGEL 20% NACL 15 (G), 5 UNIDADES
545666|SONDA VESICAL SILICONA B. <5ML 6 (CH), 1 UNIDAD
545667|SONDA VESICAL SILICONA B. <5ML 8 (CH), 1 UNIDAD
545668|SONDA VESICAL SILICONA B. <5ML 10 (CH), 1 UNIDAD
545669|SONDA VESICAL SILICONA B.15 ML 12 (CH), 1 UNIDAD
545670|SONDA VESICAL SILICONA B.15 ML 14 (CH), 1 UNIDAD
545671|SONDA VESICAL SILICONA B.15 ML 16 (CH), 1 UNIDAD
545672|SONDA VESICAL SILICONA B.15 ML 18 (CH), 1 UNIDAD
545673|APOSITOS B OSTOM RES SINT C-ESP, 5 UNIDADES
545674|APOSITOS B OSTOM RES SINT C-ESP 10X10 (CM), 5 UNIDADES
545675|APOSITOS B OSTOM RES SINT C-ESP 12,5X12,5 (CM), 5 UNIDADES
545676|APOSITO GEL SALINO 0,9% 15 (G), 5 UNIDADES
545677|SONDA VESICAL SILICONA B.5-10 ML 12 (CH), 1 UNIDAD
545678|SONDA VESICAL SILICONA B.5-10 ML 14 (CH), 1 UNIDAD
545679|SONDA VESICAL SILICONA B.5-10 ML 16 (CH), 1 UNIDAD
545680|SONDA VESICAL SILICONA B.5-10 ML 18 (CH), 1 UNIDAD
545681|SONDA VESICAL SILICONA B.5-10 ML 20 (CH), 1 UNIDAD
545682|SONDA VESICAL SILICONA B.5-10 ML 22 (CH), 1 UNIDAD
545683|SONDA VESICAL SILICONA B.5-10 ML 24 (CH), 1 UNIDAD
545684|SONDA VESICAL SILICONA B.5-10 ML 26 (CH), 1 UNIDAD
545689|SONDA VESICAL BAJA FRICCION MUJER 16 (CH), 60 UNIDADES
545690|SONDA VESICAL BAJA FRICCION MUJER 18 (CH), 60 UNIDADES
545694|SONDA VESICAL BAJA FRICCION HOMBRE 10 (CH), 60 UNIDADES
545695|SONDA VESICAL BAJA FRICCION HOMBRE 12 (CH), 60 UNIDADES
545696|SONDA VESICAL BAJA FRICCION HOMBRE 14 (CH), 60 UNIDADES
545697|SONDA VESICAL BAJA FRICCION HOMBRE 16 (CH), 60 UNIDADES
545698|SONDA VESICAL BAJA FRICCION HOMBRE 18 (CH), 60 UNIDADES
545699|SONDA VESICAL BAJA FRICCION TIEMAN 10 (CH), 60 UNIDADES
545700|SONDA VESICAL BAJA FRICCION TIEMAN 12 (CH), 60 UNIDADES
545701|SONDA VESICAL BAJA FRICCION TIEMAN 14 (CH), 60 UNIDADES
545702|SONDA VESICAL BAJA FRICCION TIEMAN 16 (CH), 60 UNIDADES
545703|SONDA VESICAL BAJA FRICCION TIEMAN 18 (CH), 60 UNIDADES
545704|SONDA VESICAL BAJA FRICCION TIEMAN 20 (CH), 60 UNIDADES
545705|APOSITOS BOLSAS OSTOMIA RESINA SINT, 5 UNIDADES
545706|APOSITOS BOLSAS OSTOMIA RESINA SINT, 10 UNIDADES
545707|APOSITOS BOLSAS OSTOMIA RESINA SINT, 60 G
545708|APOSITOS BOLSAS OSTOMIA RESINA SINT, 60 UNIDADES
545709|APOSITOS BOLSAS OSTOMIA RESINA SINT 10X10 (CM), 5 UNIDADES
545710|APOSITOS BOLSAS OSTOMIA RESINA SINT 15X15 (CM), 5 UNIDADES
545711|APOSITOS BOLSAS OSTOMIA RESINA SINT 20X20 (CM), 5 UNIDADES
545713|SONDA VESICAL BAJA FRICCION NELATON 8 (CH), 60 UNIDADES
545714|SONDA VESICAL BAJA FRICCION NELATON 10 (CH), 25 UNIDADES
545715|SONDA VESICAL BAJA FRICCION NELATON 10 (CH), 60 UNIDADES
545716|SONDA VESICAL BAJA FRICCION NELATON 12 (CH), 25 UNIDADES
545717|SONDA VESICAL BAJA FRICCION NELATON 12 (CH), 60 UNIDADES
545718|SONDA VESICAL BAJA FRICCION NELATON 14 (CH), 60 UNIDADES
545719|SONDA VESICAL BAJA FRICCION NELATON 16 (CH), 60 UNIDADES
545720|SONDA VESICAL BAJA FRICCION NELATON 18 (CH), 60 UNIDADES
545721|SONDA VESICAL BAJA FRICCION NELATON 20 (CH), 60 UNIDADES
545724|APOSITOS B OSTOM RES SINT ACOPLAM ADH, 5 UNIDADES
545728|SONDA VESICAL SILICONA B.15 ML HOMBRE 20 (CH), 1 UNIDAD
545729|SONDA VESICAL SILICONA B.15 ML HOMBRE 22 (CH), 1 UNIDAD
545730|SONDA VESICAL SILICONA B.15 ML HOMBRE 24 (CH), 1 UNIDAD
545734|SONDA VESICAL BAJA FRICCION PEDIATRICA 6 (CH), 60 UNIDADES
545735|SONDA VESICAL BAJA FRICCION PEDIATRICA 8 (CH), 60 UNIDADES
545736|SONDA VESICAL BAJA FRICCION PEDIATRICA 10 (CH), 60 UNIDADES
545737|APOSITOS BOLSAS OSTOMIA ARO RESINA SINT, 5 UNIDADES
545739|APOSITO DE HIDROCOLOIDE / PASTA 30 (G), 1 UNIDAD
545740|APOSITO DE HIDROCOLOIDE / PASTA 50 (G), 1 UNIDAD
545743|SONDA VESICAL SILICONA B.5-10 ML HOMBRE 14 (CH), 1 UNIDAD
545744|SONDA VESICAL SILICONA B.5-10 ML HOMBRE 16 (CH), 1 UNIDAD
545745|SONDA VESICAL SILICONA B.5-10 ML HOMBRE 20 (CH), 1 UNIDAD
