COD_PROC_URG|TITULO
02.95|EXTRACCION DE COMPAS O HALO CRANEAL
02.96|INSERCION DE ELECTRODOS ESFENOIDALES
02.99|OTRA OPERACION SOBRE CRANEO,CEREBRO Y MENINGES CEREBRALES
03|OPERACIONES SOBRE MEDULA ESPINAL Y ESTRUCTURAS DE C. ESPINAL
03.0|EXPLORACION Y DESCOMPRESION DE ESTRUCTURAS DEL CANAL ESPINAL
03.01|EXTRACCION DE CUERPO EXTRAÐO DEL CANAL ESPINAL
03.02|REAPERTURA DE SITIO DE LAMINECTOMIA
03.09|OTRA EXPLORACION Y DESCOMPRESION DEL CANAL ESPINAL
03.1|DIVISION DE RAIZ DE NERVIO INTRAESPINAL
031.10|TRAQUEOSTOMIA TEMPORAL
03.2|CORDOTOMIA
03.21|CORDOTOMIA PERCUTANEA
03.29|OTRA CORDOTOMIA
03.3|PROC.DIAGNOSTICOS SOBRE MEDULA ESPINAL Y ESTRUC. CANAL ESPIN
03.31|PUNCION ESPINAL
03.32|BIOPSIA DE MEDULA ESPINAL O MENINGES ESPINALES
03.39|OTROS PROCED.DIAGN.SOBRE LA MEDUL.ESPIN.Y ESTRUC.DEL CANAL E
03.4|EXCISION O DESTRUCCION LESION MEDULA ESPINAL/MENINGES ESPINA
034.04|DRENAJE CERRADO DE TORAX
034.09|DRENAJE ABIERTO DE TORAX
03.5|OPERACIONES PLASTICAS SOBRE ESTRUCTURAS DE LA MEDULA
03.51|REPARACION DE MENINGOCELE ESPINAL
03.52|REPARACION DE MIELOMENINGOCELE ESPINAL
03.53|REPARACION DE FRACTURA VERTEBRAL
03.59|OTRAS OPER. DE REPAR. Y PLASTIC. SOBRE ESTRUC. DEL CANAL ESP
03.6|LISIS DE ADHERENCIAS MEDULA ESPINAL Y RAICES NERVIOS ESPINAL
036.04|FIBRINOLISIS INTRAVENOSA
03.7|DERIVACION DE TECA ESPINAL
03.71|DERIVACION SUBARACNOIDE-PERITONEAL ESPINAL
03.72|DERIVACION SUBARACNOIDE-URETERAL ESPINAL
03.79|OTRA DERIVACION DE TECA ESPINAL
03.8|INYECCION DE AGENTE DESTRUCTIVO EN EL CANAL ESPINAL
038.80|CONTROL DE HEMORRAGIA POR LIGADURA
038.91|CANALIZACION VÍA CENTRAL
038.94|DISECCION VENA PERIFERICA
03.9|OTRAS OPERACIONES S/MEDULA ESPINAL Y ESTRUCTURAS CANAL ESPIN
03.90|INSERCION CETETER COND.ESPINAL PARA INF.SUST.TERAP.Y PALIATI
03.91|INYECCION DE ANESTESICO EN CANAL ESPINAL PARA ANALGESIA
03.92|INYECCION DE OTRO AGENTE EN CANAL ESPINAL
03.93|COLOCACION O SUSTITUCION DE NEUROESTIMULADOR ESPINAL
03.94|EXTRACCION DE NEUROESTIMULADOR ESPINAL
03.95|PARCHE HEMATICO ESPINAL
03.96|DENERVACION PERCUTANEA DE FACETA
03.97|REVISION DE DERIVACION DE TECA ESPINAL
03.98|EXTRACCION DE DERIVACION DE TECA ESPINAL
03.99|OTRAS OPERACIONES SOBRE MEDULA ESPINAL NCOC
039.96|CANALIZACIÓN VENOSA PARA PERFUSIÓN
04|OPERACIONES SOBRE NERVIOS CRANEALES Y PERIFERICOS
04.0|INCISION, DIVISION Y EXCISION DE NERVIOS CRANELAES Y PERIFER
04.01|EXCISION DE NEUROMA ACUSTICO
04.02|SECCION DE NERVIO TRIGEMINO
04.03|SECCION APLASTAMIENTO DE OTROS NERVIOS CRANEALES Y PERIFERIC
04.04|OTRAS INCISIONES DE NERVIOS CRANEALES Y PERIFERICOS
04.05|GANGLIONECTOMIA DE GASSER
04.06|OTRAS GANGLIONECTOMIAS CRANEALES O PERIFERICAS
04.07|OTRAS EXCISIONES O EVULSIONES DE NERVIOS CRANEALES O PERIFER
04.1|PROCEDIMIENTOS DIAGNOSTICOS SOBRE SISTEMA NERVIOSO PERIFERIC
04.11|BIOPSIA PERCUTANEA DE NERVIO O GANGLIO CRANEAL O SIMPATICO
04.12|BIOPSIA ABIERTA DE NERVIO O GANGLIO CRANEAL O PERIFERICO
04.19|OTROS PROC. DIAGN. SOBRE NERVIOS Y GANGLIOS CRANEALES Y PERI
04.2|DESTRUCCION DE NERVIOS CRANEALES Y PERIFERICOS
04.3|SUTURA DE NERVIOS CRANEALES Y PERIFERICOS
04.4|LISIS ADHERENCIAS Y DESCOMPRESION NERVIOS CRANEALES/PERIFERI
04.41|DECOMPRESION DE RAIZ DE NERVIO TRIGEMINO
04.42|DECOMPRESION DE OTRO NERVIO CRANEAL
04.43|LIBERACION DE TUNEL CARPIANO
04.44|LIBERACION DE TUNEL TARSAL
04.49|OTRA DECOMPR. O LISIS DE ADHERENC. DE NERVIO O GANGLIO PERIF
04.5|INJERTO DE NERVIO CRANEAL O PERIFERICO
04.6|TRANSPOSICION DE NERVIOS CRANEALES Y PERIFERICOS
04.7|OTRA NEUROPLASTIA CRANEAL O PERIFERICA
04.71|ANASTOMOSIS HIPOGLOSO-FACIAL
04.72|ANASTOMOSIS ACCESORIO-FACIAL
04.73|ANASTOMOSIS ACCESORIO-HIPOGLOSA
04.74|OTRA ANASTOMOSIS DE NERVIO CRANEAL O PERIFERICO
04.75|REVISION DE REPARACION ANTERIOR DE NERVIOS CRANEALES Y PERIF
04.76|REPARACION DE HERIDA TRAUM. ANTIGUA DE NERV.CRANEALES Y PERI
04.79|OTRAS NEUROPLASTIAS
04.8|INYECCION DENTRO DE NERVIO PERIFERICO
04.80|INYECCION DE NERVIO PERIFERICO, NO ESPECIFICADA DE OTRA MANE
04.81|INYECC. DE ANESTESIA DENTRO DE NERV. PERIF. CON FIN ANALGESI
04.89|INYECCION DE OTRO AGENTE, SALVO NEUROLITICO
04.9|OTRAS OPERACIONES SOBRE NERVIOS CRANEALES Y PERIFERICOS
04.91|NEURECTASIA
04.92|COLOCACION O SUSTITUCION DE NEUROESTIMULACION PERIFERICO
04.93|EXTRACCION DE NEUROESTIMULADOR PERIFERICO
04.99|OTRAS OPERACIONES SOBRE NSERVIOS CRANEALES NCOC
05|OPERACIONES SOBRE NERVIOS O GANGLIOS SIMPATICOS
05.0|DIVISION DE NERVIO O GANGLIO SIMPATICO
05.1|PROCEDIMIENTOS DIAGNOSTICOS SOBRE NERVIOS O GANGLIOS SIMPATI
05.11|BIOPSIA DE NERVIO O GANGLIO SIMPATICO
05.19|OTROS PROCED. DIAGNOSTICOS SOBRE NERVIOS O GANGLIOS SIMPATIC
05.2|SIMPATECTOMIA
05.21|GANGLIONECTOMIA ESFENOPALATINA
05.22|SIMPATECTOMIA CERVICAL
05.23|SIMPATECTOMIA LUMBAR
05.24|SIMPATECTOMIA PRESACRAL
05.25|SIMPATECTOMIA PERIARTERIAL
05.29|OTRAS SIMPATECTOMIAS Y GANGLIONECTOMIAS
05.3|INYECCION EN NERVIO O GANGLIO SIMPATICO
05.31|INYECCION DE ANESTESICO EN NERVIO SIMPATICO CON FIN ANALGESI
05.32|INYECCION DE AGENTE NEUROLITICO EN NERVIO SIMPATICO
05.39|OTRA INYECCION EN NERVIO O GANGLIO SIMPATICO
054.91|PARACENTESIS ABDOMINAL
057|DRENAJE VESICAL TRANSURETRAL (SONDAJE VESICAL)
057.19|PUNCIÓN SUPRAPÚBICA VESICAL
05.8|OTRAS OPERACIONES SOBRE NERVIOS O GANGLIOS SIMPATICOS
05.81|REPARACION DE NERVIO O GANGLIO SIMPATICO
05.89|OTRAS OPERACIONES SOBRE NERVIOS O GANGLIOS SIMPATICOS NCOC
05.9|OTRAS OPERACIONES SOBRE EL SISTEMA NERVIOSO
06|OPERACIONES SOBRE GANDULAS TIROIDES Y PARATIROIDES
06.0|INCISION SOBRE EL AREA TIROIDEA
06.01|ASPIRACION DEL AREA TIROIDEA
06.02|REAPERTURA DE HERIDA DE AREA TIROIDEA
06.09|OTRA INCISION DEL AREA TIROIDEA
06.1|PROCEDIMIENTOS DIAGNOSTICOS S/GLANDULAS PARATOROIDES Y TIROI
06.11|BIOPSIA PERCUTANEA (AGUJA) DE GLANDULA TIROIDES
06.12|OTRA BIOPSIA DE GLANDULA TIROIDES
06.13|BIOPSIA DE GLANDULA PARATIROIDES
06.19|OTROS PROC.DIAGN. SOBRE GLANDULA TIROIDES Y PARATIROIDES
06.2|LOBECTOMIA TIROIDEA UNILATERAL
06.3|OTRA TIROIDECTOMIA PARCIAL
06.31|EXCISION DE LESION DE TIROIDES
06.39|OTRA TIROIDECTOMIA PARCIAL NCOC
06.4|TIROIDECTOMIA TOTAL
06.5|TIROIDECTOMIA SUBESTERNAL
06.50|TIROIDECTOMIA SUBESTERNAL, NO ESPECIFICADA DE OTRA MANERA
06.51|TIROIDECTOMIA SUBESTERNAL PARCIAL
06.52|TIROIDECTOMIA SUBESTERNAL TOTAL
06.6|EXCISION DE TIROIDES LINGUAL
06.7|EXCISION DEL CONDUCTO TIROGLOSO
06.8|PARATIROIDECTOMIA
06.81|PARATIROIDECTOMIA TOTAL
06.89|OTRA PARATIROIDECTOMIA
06.9|OTRAS OPERACIONES SOBRE TIROIDES (REGION) Y PARATOROIDES
06.91|DIVISION DEL ISTMO TIROIDEO
06.92|LIGADURA DE VASOS TIROIDEOS
06.93|SUTURA DE GLANDULA TIROIDES
06.94|REIMPLANTACION DE TEJIDOS TIROIDEOS
06.95|REIMPLANTACION DE TEJIDO PARATIROIDEO
06.98|OTRAS OPERACIONES SOBRE GLANDULAS TIROIDES
06.99|OTRAS OPERACIONES SOBRE GLANDULAS PARATIROIDES
07|OPERACIONES SOBRE OTRAS GLANDULAS ENDOCRINAS
07.0|EXPLORACION DEL AREA SUPRARRENAL
07.00|EXPLORACION DEL AREA SUPRARRENAL, N.E.O.M.
07.01|EXPLORACION UNILATERAL DEL AREA SUPRARRENAL
07.02|EXPLORACION BILATERAL DEL AREA SUPRARRENAL
07.1|PROC.DIAGNOSTICOS S/ G.SUPRARRENALES,HIPOFISIS,PINEAL Y TIMO
07.11|BIOPSIA PERCUTANEA (AGUJA) DE GLANDULA SUPRARRENAL
07.12|OTRA BIOPSIA DE GLANDULA SUPRARRENAL
07.13|BIOPSIA DE GLANDULA PITUITARIA, ACCESO TRANSFRONTAL
07.14|BIOPSIA DE GLANDULA PITUITARIA, ACCESO TRANSESFENOIDAL
07.15|BIOPSIA DE GLANDULA PITUITARIA, ACCESO NO ESPECIFICADO
07.16|BIOPSIA DE TIMO
07.17|BIOPSIA DE GLANDULA PINEAL
07.19|OTROS PROC.DIAGN.SOBRE SUPRARRENALES,PITUITARIA,PINEAL Y TIM
07.2|SUPRARRENALECTOMIA PARCIAL
07.21|EXCISION DE LESION DE GLANDULA SUPRARRENAL
07.22|SUPRARRENALECTOMIA UNILATERAL
07.29|OTRA SUPRARRENALECTOMIA PARCIAL
07.3|SUPRARRENALECTOMIA BILATERAL
07.4|OTRAS OPERACIONES SOBRE GLANDULAS, NERVIOS Y VASOS SUPRARREN
07.41|INCISION DE GLANDULA SUPRARRENAL
07.42|DIVISION DE NERVIOS AFERENTES CON GLANDULAS SUPRARRENALES
07.43|LIGADURA DE VASOS SUPRARRENALES
07.44|REPARACION DE GLANDULA SUPRARRENAL
07.45|REIMPLANTACION DE TEJIDO SUPRARRENAL
07.49|OTRA OPERACION SOBRE GLANDULAS, NERVIOS Y VASOS SUPRARR.NCOC
07.5|OPERACIONES SOBRE GLANDULA PINEAL
07.51|EXPLORACION DEL AREA PINEAL
07.52|INCISION DE GLANDULA PINEAL
07.53|EXCISION PARCIAL DE GLANDULA PINEAL
07.54|EXCISION TOTAL DE GLANDULA PINEAL
07.59|OTRAS OPERACIONES SOBRE GLANDULA PINEAL
07.6|HIPOFISECTOMIA
07.61|EXCISION PARCIAL DE GLANDULA PITUITARIA, ACCESO TRANSFRONTAL
07.62|EXCISION PARCIAL DE GLANDULA PITUITARIA, ACCESO TRANSESFENOI
07.63|EXCISION PARCIAL DE GLANDULA PITUITARIA, ACCESO NO ESPECIFIC
07.64|EXCISION TOTAL DE GLANDULA PITUITARIA, ACCESO TRANSFRONTAL
07.65|EXCISION TOTAL DE GLANDULA PITUITARIA, ACCESO TRANSESFENOIDA
07.68|EXCISION TOTAL DE GLANDULA PITUITARIA, OTRO ACCESO ESPECIFIC
07.69|EXCISION TOTAL DE GLANDULA PITUITARIA, ACCESO NO ESPECIFICAD
076.96|INYECCIÓN INTRAARTICULAR
07.7|OTRAS OPERACIONES SOBRE HIPOFISIS
07.71|EXPLORACION DE FOSA PITUITARIA
07.72|INCISION DE GLANDULA PITUITARIA
07.79|OTRA OPERACION SOBRE HIPOFISIS NCOC
07.8|TIMECTOMIA
07.80|TIMECTOMIA, N. E. O. M.
07.81|EXCISION PARCIAL DE TIMO
07.82|EXCISION TOTAL DE TIMO
07.9|OTRAS OPERACIONES SOBRE EL TIMO
079|REDUCCIÓN CERRADA FRACTURA
07.91|EXPLORACION DEL AREA TIMICA
07.92|INCISION DE TIMO
07.93|REPARACION DE TIMO
07.94|TRASPLANTE DE TIMO
079.71|REDUCCIÓN LUXACIÓN HOMBRO
079.72|REDUCCIÓN LUXACIÓN CODO
079.73|REDUCCIÓN LUXACIÓN MUÑECA
079.74|REDUCCIÓN LUXACIÓN MANO Y DEDO
079.76|REDUCCIÓN LUXACIÓN RODILLA
079.77|REDUCCIÓN LUXACIÓN TOBILLO
079.78|REDUCCIÓN LUXACIÓN PIE Y DEDO PIE
07.99|OTRA OPERACION SOBRE TIMO NCOC
08|OPERACIONES SOBRE PARPADOS
08.0|INCISION DE PARPADO
08.01|INCISION DEL MARGEN DEL PARPADO
08.02|SECCIONADO DE BLEFARORRAFIA
08.09|OTRA INCISION DE PARPADO
08.1|PROCEDIMIENTOS DIAGNOSTICO SOBRE PARPADO
08.11|BIOPSIA DE PARPADO
08.19|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE PARPADO
08.2|EXCISION O DESTRUCCION DE LESION O TEJIDO DE PARPADO
08.20|ELIMINACION DE LESION DE PARPADO, N. E. O. M.
08.21|EXCISION DE CHALACION
08.22|EXCISION DE OTRA LESION MENOR DE PARPADO
08.23|EXCISION DE LESION IMPORTANTE DE PARPADO, ESPESOR PARCIAL
08.24|EXCISION DE LESION IMPORTANTE DE PARPADO, ESPESOR TOTAL
08.25|DESTRUCCION DE LESION DE PARPADO
08.3|REPARACION DE BLEFAROPTOSIS Y RETRACCION DEL PARPADO
083.00|DRENAJE DE LIQUIDO ARTICULAR
08.31|REPARACION DE BLEFAROPTOSIS POR TECN.DE MUSC.FRONT.CON SUTUR
08.32|REP.DE BLEFAROPTOSIS POR TEC.DE M.FRON.CON SUSPENSION FACIAL
08.33|R.DE BLEF.POR RESECC.O AVANCE DE MUSC.ELEVADOR O APONEUROSIS
08.34|REPARACION DE BLEFAROPTOSIS POR OTRAS TECN.DEL MUSCULO ELEVA
08.35|REPARACION DE BLEFAROPTOSIS POR OTRA TECNICA TARSIANA
08.36|REPARACION DE BLEFAROPTOSIS POR OTRAS TECNICAS
08.37|REDUCCION DE CORRECION EXCESIVA DE PTOSIS
08.38|CORRECCION DE RETRACCION DEL PARPADO
08.4|REPARACION DE ENTROPION O ECTROPION
08.41|REPARACION DE ENTROPION O ECTROPION POR TERMOCAUTERIZACION
08.42|REPARACION DE ENTROPION O ECTROPION POR TECNICA DE SUTURA
08.43|REPARACION DE ENTROPION O ECTROPION CON RESECCION EN CUÐA
08.44|REPAR.DE ENTROPION O ECTROPION CON RECONSTRUCCION DE PARPADO
08.49|OTRA REPARACION DE ENTROPION O ECTROPION
08.5|OTRO AJUSTE DE POSICION DE PARPADO
08.51|CANTOTOMIA
08.52|BLEFARORRAFIA
08.59|OTRO AJUSTE DE POSICION DE PARPADO NCOC
08.6|RECONSTRUCCION DE PARPADO CON COLGAJO O INJERTO
08.61|RECONSTRUCCION DE PARPADO CON COLGAJO O INJERTO DE PIEL
08.62|RECONST. DE PARPADO CON COLGAJO O INJERTO DE MEMBRANA MUCOSA
086.22|DESBRIDAMIENTO DE HERIDA, INFECCIÓN O QUEMADURA
086.23|EXTRACCIÓN UNGUEAL
08.63|RECOSTRUCCION DE PARPADO CON INJERTO DE FOLICULO PILOSO
08.64|RECONSTRUCCION DE PARPADO CON COLGAJO TARSOCONJUNTIVAL
086.50|SUTURA DE PIEL Y TEJIDO SUBCUTÁNEO
08.69|OTRA RECONSTRUCCION DE PARPADO CON COLGAJOS O INJERTOS
08.7|OTRA RECONSTRUCCION DE PARPADO
08.70|RECONSTRUCCION DE PARPADO, N. E. O. M.
08.71|REC.DE PARP.CON IMPLICACION DE MARGEN DE PARP.,GROSOR PARCIA
08.72|OTRA RECONSTRUCCION DE PARPADO, GROSOR PARCIAL
08.73|REC.DE PARP.CON IMPLICACION DE MARGEN DE PARP., GROSOR TOTAL
08.74|OTRA RECONSTRUCCION DEL PARPADO, GROSOR TOTAL
08.8|OTRA REPARACION DEL PARPADO
08.81|REPARACION LINEAL DE LACERACION DE PARPADO O CEJA
08.82|R.DE LACERACION CON IMPLICACI.DE MARGEN PARP.,GROSOR PARCIAL
08.83|OTRA REPARACION DE LACERACION DE PARPADO, GROSOR PARCIAL
08.84|R. DE LACERACION CON IMPLICACION DE MARGEN DE PARP.,GROSOR T
08.85|OTRA REPARACION DE LACERACION DE PARPADO, GROSOR TOTAL
08.86|RITIDECTOMIA DE PARPADO INFERIOR
08.87|RITIDECTOMIA DE PARPADO SUPERIOR
08.89|OTRA REPARACION DE PARPADO
08.9|OTRAS OPERACIONES SOBRE PARPADOS
08.91|EPILACION ELECTROQUIRURGICA DE PARPADO
08.92|EPILACION CRIOQUIRURGICA DE PARPADO
08.93|OTRA EPILACION DE PARPADO
08.99|OTRA OPERACION SOBRE PARPADO NCOC
09|OPERACIONES SOBRE APARATO LAGRIMAL
09.0|INCISION DE GLANDULA LAGRIMAL
09.1|PROCEDIMIENTOS DIAGNOSTICOS SOBRE APARATO LAGRIMAL
09.11|BIOPSIA DE GLANDULA LAGRIMAL
09.12|BIOPSIA DE SACO LAGRIMAL
09.19|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE APARATO LAGRIMAL
09.2|EXCISION DE LESION O TEJIDO DE GLANDULA LAGRIMAL
09.20|EXCISION DE GLANDULA LAGRIMAL, N. E. O. M.
09.21|EXCISION DE LESION DE GLANDULA LAGRIMAL
09.22|OTRA DACRIADENECTOMIA PARCIAL
09.23|DACRIADENECTOMIA TOTAL
09.3|OTRAS OPERACIONES SOBRE GLANDULA LAGRIMAL
093.51|APLICACIÓN DE VENDAJE ENYESADO
093.52|APLICACIÓN DE COLLARIN CERVICAL
093.54|APLICACIÓN DE FÉRULA
093.56|APLICACIÓN DE VENDAJE COMPRESIVO
093.59|VENDAJE DE VELPEAU
093.91|RESPIRACIÓN DE PRESION POSITIVA INTERMITENTE
093.92|USO DEL RESPIRADOR AUTOMÁTICO
093.93|RESUSCITACIÓN MANUAL (REFERIDA A VENTILACIÓN)
093.94|AEROSOLTERAPIA
093.96|TERAPIA DE OXIGENO (OXIGENOTERAPIA)
09.4|MANIPULACION DEL CONDUCTO LAGRIMAL
09.41|SONDAJE DEL PUNTO LAGRIMAL
09.42|SONDAJE DE CONDUCTO NASOLAGRIMAL
09.43|SONDAJE DE CONDUCTO NASOLAGRIMAL
09.44|INTUBACION DE CONDUCTO NASOLAGRIMAL
09.49|OTRA MANIPULACION DE CONDUCTO LAGRIMAL
09.5|INCISION DE SACO Y CONDUCTOS LAGRIMALES
09.51|INCISION DE PUNTO LAGRIMAL
09.52|INCISION DE CANALICULOS LAGRIMALES
09.53|INCISION DE SACO LAGRIMAL
09.59|OTRA INCISION DE CONDUCTOS LAGRIMALES
09.6|EXCISION DE SACO Y CONDUCTO LAGRIMAL
096.02|USO DE MASCARILLA LARINGEA
096.04|INTUBACIÓN OROTRAQUEAL
096.06|TAPONAMIENTO ESOFÁGICO (SENGSTAKEN)
096.07|INSERCIÓN SONDA NASOGASTRICA (SONDA NASOGÁSTRICA)
096.27|REDUCCIÓN MANUAL DE HERNIA
096.33|LAVADO GÁSTRICO
096.38|EXTRACCIÓN DE HECES IMPACTADAS
096.39|IRRIGACIÓN ANAL (ENEMAS)
096.45|LAVADO VESICAL
096.51|LAVADO OCULAR
096.52|EXTRACCIÓN DE CERUMEN
096.53|LAVADO NASAL
096.58|LIMPIEZA DE HERIDA
09.7|REPARACION DE CANALICULO Y PUNTO
09.71|CORRECCION DE PUNTO EVERTIDO
09.72|OTRA REPARACION DE PUNTO
09.73|REPARACION DE CANALICULOS
09.8|FISTULIZACION DEL TRACTO LAGRIMAL HASTA LA CAVIDAD NASAL
098.05|EXTRACCIÓN CUERPO EXTRAÑO ANAL
09.81|DACRIOCISTORINOSTOMIA (DCR)
098.11|EXTRACCIÓN CUERPO EXTRAÑO OIDO EXTERNO
098.12|EXTRACCION CUERPO EXTRAÑO NASAL
098.13|EXTRACCIÓN DE CUERPO EXTRAÑO FARINGEO
098.17|EXTRACCIÓN DE CUERPO EXTRAÑO VAGINAL
09.82|CONJUNTIVOCISTORINOSTOMIA
098.21|EXTRACCIÓN CUERPO EXTRAÑO OCULAR SUPERFICIAL
09.83|CONJUNTIVORINOSTOMIA CON INSERCION DE TUBO O VARILLA
09.9|OTRAS OPERACIONES SOBRE EL APARATO LAGRIMAL
099.01|CANALIZACIÓN VENOSA PARA  TRANSFUSION
099.04|TRANSFUSION DE HEMATIES
099.05|TRANSFUSION DE PLAQUETAS
099.06|TRANSFUSIÓN DE FACTORES DE COAGULACIÓN
099.07|TRANSFUSIÓN DE PLASMA
09.91|OBLITERACION DEL PUNTO LAGRIMAL
099.10|INYECCIÓN IM O IV
099.11|CANALIZACIÓN VENOSA PARA SUSTANCIA TERAPEUTICA
099.14|INYECCIÓN DE GAMMAGLOBULINA
099.17|INYECCIÓN DE INSULINA
099.21|INYECCIÓN DE ANTIBIOTICO
099.26|INYECCIÓN DE TRANQUILIZANTE
099.38|ADMINISTRACIÓN DE TOXOIDE TETÁNICO
099.60|RESUCITACIÓN CARDIOPULMONAR
099.61|CARDIOVERSIÓN ATRIAL
099.62|CARDIOVERSIÓN EXTERNA (OTRA)
099.63|MASAJE CARDIACO EXTERNO MANUAL
099.69|OTRA CONVERSIÓN DEL RITMO CARDIACO
09.99|OTRA OPERACION SOBRE APARATO LAGRIMAL NCOC
10|OPERACIONES SOBRE LA CONJUNTIVA
10.0|EXTRACCION DE CONJUNTIVA DE CUERPO EXTRAÐO INCRUSTADO C/INCI
10.1|OTRA INCISION DE CONJUNTIVA
10.2|PROCEDIMIENTOS DIAGNOSTICOS SOBRE CONJUNTIVA
10.21|BIOPSIA DE CONJUNTIVA
